Province,District,Name,Party,Year,First,Last
Ilocos Sur ,2nd ,Eric D. Singson ,KBL ,8,Eric,Singson
Iloilo ,1st ,Oscar G. Garin , ,8,Oscar,Garin
Iloilo ,2nd ,Alberto J. Lopez , ,8,Alberto,Lopez
Iloilo ,3rd ,Licurgo P. Tirador , ,8,Licurgo,Tirador
Iloilo ,4th ,Narciso D. Monfort ,KBL ,8,Narciso,Monfort
Iloilo ,5th ,Neil D. Tupas ,KBL ,8,Neil,Tupas
Iloilo City ,Lone ,Rafael J. Lopez-Vito , ,8,Rafael,Lopez-Vito
Isabela ,1st ,Rodolfo B. Albano ,KBL ,8,Rodolfo,Albano
Isabela ,2nd ,"Simplicio B. Domingo, Jr. ",KBL ,8,Simplicio,Domingo
Isabela ,3rd ,Santiago P. Respicio , ,8,Santiago,Respicio
Isabela ,4th ,Antonio M. Abaya ,KBL ,8,Antonio,Abaya
Kalinga-Apayao ,Lone ,William F. Claver , ,8,William,Claver
La Union ,1st ,Victor F. Ortega ,Nacionalista/KBL ,8,Victor,Ortega
La Union ,2nd ,Jose D. Aspiras ,KBL ,8,Jose,Aspiras
Laguna ,1st ,Nereo R. Joaquin , ,8,Nereo,Joaquin
Laguna ,2nd ,"Justin M. Chipeco, Jr. ",KBL ,8,Justin,Chipeco
Laguna ,3rd ,Florante L. Aquino , ,8,Florante,Aquino
Laguna ,4th ,Magdaleno M. Palacol , ,8,Magdaleno,Palacol
Lanao del Norte ,1st ,Mariano Ll. Badelles ,KBL ,8,Mariano,Badelles
Lanao del Norte ,2nd ,Abdullah D. Dimaporo[6] ,KBL ,8,Abdullah,Dimaporo
Lanao del Sur ,1st ,Sultan Omar M. Dianalan ,LDP ,8,Sultan,Dianalan
Lanao del Sur ,2nd ,Mohamad Ali B. Dimaporo ,KBL ,8,Mohamad,Dimaporo
Las Piñas-Muntinlupa ,Lone ,Filemon C. Aguilar , ,8,Filemon,Aguilar
Leyte ,1st ,Cirilo Roy C. Montejo , ,8,Cirilo,Montejo
Leyte ,2nd ,"Manuel L. Horca, Jr. ", ,8,Manuel,Horca
Leyte ,3rd ,Alberto S. Veloso ,KBL ,8,Alberto,Veloso
Leyte ,4th ,Carmelo J. Locsin ,independent ,8,Carmelo,Locsin
Leyte ,5th ,Eriberto V. Loreto ,LDP ,8,Eriberto,Loreto
Maguindanao ,1st ,Michael Mastura , ,8,Michael,Mastura
Maguindanao ,2nd ,Guimid P. Matalam , ,8,Guimid,Matalam
Makati ,Lone ,Ma. Consuelo Puyat-Reyes ,KBL ,8,Consuelo,Puyat-Reyes
Malabon-Navotas ,Lone ,Teresa Aquino-Oreta ,LDP ,8,Teresa,Aquino-Oreta
Manila ,1st ,Martin B. Isidro ,Liberal ,8,Martin,Isidro
Manila ,2nd ,Jaime C. Lopez ,PDP-Laban ,8,Jaime,Lopez
Manila ,3rd ,Leonardo B. Fugoso , ,8,Leonardo,Fugoso
Manila ,4th ,"Ramon S. Bagatsing, Jr. ",LDP ,8,Ramon,Bagatsing
Manila ,5th ,Amado S. Bagatsing ,LDP ,8,Amado,Bagatsing
Manila ,6th ,Pablo V. Ocampo , ,8,Pablo,Ocampo
Marikina ,Lone ,Democlito J. Angeles , ,8,Democlito,Angeles
Marinduque ,Lone ,Carmencita O. Reyes , ,8,Carmencita,Reyes
Masbate ,1st ,Tito R. Espinosa , ,8,Tito,Espinosa
Masbate ,2nd ,Luz Cleta R. Bakunawa , ,8,Luz,Bakunawa
Masbate ,3rd ,Moises R. Espinosa[7] , ,8,Moises,Espinosa
Misamis Occidental ,1st ,Ernie D. Clarete , ,8,Ernie,Clarete
Misamis Occidental ,2nd ,Herminia M. Ramiro , ,8,Herminia,Ramiro
Misamis Oriental ,1st ,Isacio A. Pelaez , ,8,Isacio,Pelaez
Misamis Oriental ,2nd ,Victorico L. Chavez , ,8,Victorico,Chavez
Mountain Province ,Lone ,Victor S. Dominguez ,KBL ,8,Victor,Dominguez
Negros Occidental ,1st ,Salvador S. Laguda , ,8,Salvador,Laguda
Negros Occidental ,2nd ,Manuel H. Puey , ,8,Manuel,Puey
Negros Occidental ,3rd ,Jose Carlos V. Lacson , ,8,Jose,Lacson
Negros Occidental ,4th ,Edward M. Matti , ,8,Edward,Matti
Negros Occidental ,5th ,Mariano M. Yulo , ,8,Mariano,Yulo
Negros Occidental ,6th ,Hortensia L. Starke , ,8,Hortensia,Starke
Negros Oriental ,1st ,Jerome V. Paras , ,8,Jerome,Paras
Negros Oriental ,2nd ,Miguel L. Romero ,LDP ,8,Miguel,Romero
Negros Oriental ,3rd ,Margarito B. Teves , ,8,Margarito,Teves
Northern Samar ,1st ,Raul A. Daza ,Liberal ,8,Raul,Daza
Northern Samar ,2nd ,"Jose L. Ong, Jr. ",LDP ,8,Jose,Ong
Nueva Ecija ,1st ,Eduardo Nonato N. Joson ,KBL/BALANE ,8,Eduardo,Joson
Nueva Ecija ,2nd ,"Simeon E. Garcia, Jr. ", ,8,Simeon,Garcia
Nueva Ecija ,3rd ,"Hermogenes D. Concepcion, Jr. ", ,8,Hermogenes,Concepcion
Nueva Ecija ,4th ,"Nicanor D. De Guzman, Jr.[8] ", ,8,Nicanor,Jr.
