Province,District,Name,Party,,,Year,First,Last
Abra ,Lone ,Ma. Jocelyn Valera-Bernos ,Liberal1,1,Majority ,15,Jocelyn,Valera-Bernos
Agusan del Norte ,1st,Jose Aquino II ,Lakas ,2,Minority ,15,Jose,Aquino
Agusan del Norte ,2nd,Angelica Amante ,Liberal ,1,Majority ,15,Angelica,Amante
Agusan del Sur ,1st,Maria Valentina Plaza ,NUP ,1,Majority ,15,Maria,Plaza
Agusan del Sur ,2nd,Evelyn Mellana ,NUP ,1,Majority ,15,Evelyn,Mellana
Aklan ,Lone ,Florencio Miraflores ,Liberal1,3,Majority ,15,Florencio,Miraflores
Albay ,1st,Edcel Lagman ,Independent ,3,Majority ,15,Edcel,Lagman
Albay ,2nd,Al Francis Bichara ,Nacionalista ,2,Majority ,15,Al,Bichara
Albay ,3rd,Fernando Gonzalez2,Liberal ,1,Majority ,15,Fernando,Gonzalez
Antipolo ,1st,Roberto Puno ,NUP ,2,Majority ,15,Roberto,Puno
Antipolo ,2nd,Romeo Acop ,Liberal ,1,Majority ,15,Romeo,Acop
Antique ,Lone ,Paolo Javier ,Liberal ,1,Majority ,15,Paolo,Javier
Apayao ,Lone ,Eleanor Begtang ,NPC ,1,Majority ,15,Eleanor,Begtang
Aurora ,Lone ,Juan Edgardo Angara ,LDP ,3,Majority ,15,Juan,Angara
Bacolod ,Lone ,"Anthony Golez, Jr. ",Independent ,1,Majority ,15,Anthony,Golez
Baguio ,Lone ,Bernardo Vergara ,UNA ,1,Majority ,15,Bernardo,Vergara
Basilan ,Lone ,Hadjiman Hataman-Salliman ,Liberal ,1,Majority ,15,Hadjiman,Hataman-Salliman
Bataan ,1st,Herminia Roman ,Liberal ,2,Majority ,15,Herminia,Roman
Bataan ,2nd,Albert S. Garcia ,NUP ,3,Majority ,15,Albert,Garcia
Batanes ,Lone ,Henedina Abad ,Liberal ,1,Majority ,15,Henedina,Abad
Batangas ,1st,Tomas Apacible ,Liberal ,1,Majority ,15,Tomas,Apacible
Batangas ,2nd,Hermilando Mandanas ,Independent ,3,Majority ,15,Hermilando,Mandanas
Batangas ,3rd,Nelson Collantes ,Liberal1,1,Majority ,15,Nelson,Collantes
Batangas ,4th,Mark L. Mendoza ,NPC ,2,Majority ,15,Mark,Mendoza
Benguet ,Lone ,Ronald Cosalan ,Liberal ,1,Majority ,15,Ronald,Cosalan
Biliran ,Lone ,Rogelio Espina ,Liberal1,1,Majority ,15,Rogelio,Espina
Bohol ,1st,Rene Relampagos ,Liberal1,1,Majority ,15,Rene,Relampagos
Bohol ,2nd,"Erico B. Aumentado (until December 26, 2012)3",NPC ,1,Minority ,15,Erico, 
Bohol ,3rd,Arthur Yap ,NPC ,1,Minority ,15,Arthur,Yap
Bukidnon ,1st,Jesus Emmanuel Paras ,NPC ,1,Majority ,15,Jesus,Paras
Bukidnon ,2nd,"Florencio Flores, Jr. ",Nacionalista ,1,Majority ,15,Florencio,Flores
Bukidnon ,3rd,Jose Zubiri III ,Bukidnon Paglaum ,2,Majority ,15,Jose,Zubiri
Bulacan ,1st,Ma. Victoria Sy-Alvarado ,NUP ,2,Majority ,15,Victoria,Sy-Alvarado
Bulacan ,2nd,Pedro Pancho ,NUP ,3,Majority ,15,Pedro,Pancho
Bulacan ,3rd,Jonjon Mendoza ,Liberal ,1,Majority ,15,Jonjon,Mendoza
Bulacan ,4th,Linabelle Villarica ,Liberal ,1,Majority ,15,Linabelle,Villarica
Cagayan ,1st,"Juan Ponce Enrile, Jr. ",NPC ,1,Majority ,15,Juan,Enrile
Cagayan ,2nd,Florencio Vargas,Lakas-Kampi ,3,(none) ,15,Florencio,Vargas
Cagayan ,2nd,Baby Aline Vargas-Alfonso,NUP ,0,Majority ,15,Baby,Vargas-Alfonso
Cagayan ,3rd,Randolph Ting ,NUP ,1,Majority ,15,Randolph,Ting
Cagayan de Oro ,1st,Jose Benjamin Benaldo ,Nacionalista ,1,Majority ,15,Jose,Benaldo
Cagayan de Oro ,2nd,Rufus Rodriguez ,CDP ,2,Majority ,15,Rufus,Rodriguez
Caloocan ,1st,Oscar Malapitan ,UNA ,3,Majority ,15,Oscar,Malapitan
Caloocan ,2nd,Mitzi Cajayon ,NUP ,2,Majority ,15,Mitzi,Cajayon
Camarines Norte ,1st,"Renato Unico, Jr. ",NUP ,1,Majority ,15,Renato,Unico
Camarines Norte ,2nd,Elmer Panotes ,Lakas ,1,Minority ,15,Elmer,Panotes
Camarines Sur ,1st,"Rolando Andaya, Jr. ",Lakas ,1,Majority ,15,Rolando,Andaya
Camarines Sur ,2nd,Dato Arroyo ,Lakas ,2,Minority ,15,Dato,Arroyo
Camarines Sur ,3rd,"Luis Villafuerte, Sr. ",NPC ,3,Majority ,15,Luis,Villafuerte
Camarines Sur ,4th,Arnulfo Fuentebella ,NPC ,3,Majority ,15,Arnulfo,Fuentebella
Camarines Sur ,5th,Salvio Fortuno ,Liberal1,1,Majority ,15,Salvio,Fortuno
Camiguin ,Lone ,"Pedro Romualdo(until April 24, 2013)16",Lakas ,2,Majority ,15,Pedro, 
Capiz ,1st,Antonio Del Rosario ,Liberal ,2,Majority ,15,Antonio,Rosario
Capiz ,2nd,Jane Castro ,NUP ,1,Majority ,15,Jane,Castro
Catanduanes ,Lone ,Cesar Sarmiento ,Liberal ,1,Majority ,15,Cesar,Sarmiento
Cavite ,1st,"Joseph Emilio Abaya (until October 18, 2012)",Liberal ,3,Majority ,15,Joseph, 
Cavite ,2nd,Lani Mercado ,Lakas ,1,Minority ,15,Lani,Mercado
Cavite ,3rd,Erineo Maliksi ,Liberal ,1,Majority ,15,Erineo,Maliksi
Cavite ,5th,Roy Loyola ,Liberal ,1,Majority ,15,Roy,Loyola
Cavite ,6th,Antonio Ferrer ,NUP ,1,Majority ,15,Antonio,Ferrer
Cavite ,7th,Crispin Remulla ,Nacionalista/Magdalo ,3,Majority ,15,Crispin,Remulla
Cebu ,1st,Eduardo Gullas ,Nacionalista/Alayon ,3,Majority ,15,Eduardo,Gullas
Cebu ,2nd,Pablo P. Garcia ,NUP ,2,Majority ,15,Pablo,Garcia
Cebu ,3rd,Pablo John Garcia ,NUP ,2,Majority ,15,Pablo,Garcia
Cebu ,4th,Benhur Salimbangon ,NUP ,1,Majority ,15,Benhur,Salimbangon
Cebu ,5th,Ramon Durano VI ,NPC ,3,Majority ,15,Ramon,VI
Cebu ,6th,Gabriel Luis Quisumbing ,Liberal ,1,Majority ,15,Gabriel,Quisumbing
Cebu City ,1st,Rachel del Mar ,Liberal ,1,Majority ,15,Rachel,Mar
Cebu City ,2nd,Tomas Osmeña ,Liberal ,1,Majority ,15,Tomas,Osmeña
Compostela Valley ,1st,Maria Carmen Zamora ,Liberal1,1,Majority ,15,Maria,Zamora
Compostela Valley ,2nd,Rommel Amatong ,Lakas ,2,Majority ,15,Rommel,Amatong
Cotabato (North) ,1st,Jesus Sacdalan ,Liberal ,1,Majority ,15,Jesus,Sacdalan
Cotabato (North) ,2nd,Nancy Catamco ,Liberal ,1,Majority ,15,Nancy,Catamco
Dasmariñas City ,Lone ,"Elpidio Barzaga, Jr. ",NUP ,2,Majority ,15,Elpidio,Barzaga
Davao City ,1st,Karlo Nograles ,NUP ,1,Majority ,15,Karlo,Nograles
Davao City ,2nd,Mylene Garcia-Albano ,Liberal1,1,Majority ,15,Mylene,Garcia-Albano
Davao City ,3rd,Isidro Ungab ,Liberal/Hugpong ,2,Majority ,15,Isidro,Ungab
Davao del Norte ,1st,Antonio Rafael del Rosario ,Liberal ,1,Majority ,15,Antonio,Rosario
Davao del Norte ,2nd,"Antonio Lagdameo, Jr. ",NUP ,2,Majority ,15,Antonio,Lagdameo
Davao del Sur ,1st,Marc Douglas Cagas IV ,Nacionalista ,2,Minority ,15,Marc,Cagas
Davao del Sur ,2nd,Franklin Bautista ,Liberal ,2,Majority ,15,Franklin,Bautista
Davao Oriental ,1st,Nelson Dayanghirang ,Nacionalista ,2,Majority ,15,Nelson,Dayanghirang
Davao Oriental ,2nd,Thelma Almario ,Lakas ,2,Majority ,15,Thelma,Almario
Dinagat Islands6,Lone ,"Ruben Ecleo, Jr. (until May 31, 2012)7",Lakas ,1,Majority ,15,Ruben, 
Eastern Samar ,Lone ,Ben Evardone ,Liberal1,1,Majority ,15,Ben,Evardone
Guimaras ,Lone ,Joaquin Carlos Rahman Nava ,Liberal1,2,Majority ,15,Joaquin,Nava
Ifugao ,Lone ,"Teodoro Baguilat, Jr. ",Liberal ,1,Majority ,15,Teodoro,Baguilat
Iligan City ,Lone ,"Vicente Belmonte, Jr. ",Liberal ,2,Majority ,15,Vicente,Belmonte
Ilocos Norte ,1st,Rodolfo Fariñas ,Nacionalista ,1,Majority ,15,Rodolfo,Fariñas
Ilocos Norte ,2nd,Imelda Marcos ,KBL/Nacionalista ,1,Majority ,15,Imelda,Marcos
Ilocos Sur ,1st,Ronald Singson,Lakas-Kampi ,2,Majority ,15,Ronald,Singson
Ilocos Sur ,1st,Ryan Singson,Nacionalista/Biled ,0,Majority ,15,Ryan,Singson
Ilocos Sur ,2nd,"Eric Singson, Jr. ",Liberal1,1,Majority ,15,Eric,Singson
Iloilo ,1st,Janette Garin ,Liberal ,3,Majority ,15,Janette,Garin
Iloilo ,2nd,"Augusto Syjuco, Jr. ",UNA ,1,Minority ,15,Augusto,Syjuco
Iloilo ,3rd,"Arthur Defensor, Jr. ",Liberal ,1,Majority ,15,Arthur,Defensor
Iloilo ,4th,Ferjenel Biron ,UNA ,3,Majority ,15,Ferjenel,Biron
Iloilo ,5th,"Niel Tupas, Jr. ",Liberal ,2,Majority ,15,Niel,Tupas
Iloilo City ,Lone ,Jerry Treñas ,Liberal ,1,Majority ,15,Jerry,Treñas
Isabela ,1st,"Rodolfo Albano, Jr. ",NPC ,1,Minority ,15,Rodolfo,Albano
