Province,District,Name,Party,,,Year,First,Last
Manila ,5th,Joey D. Hizon ,Liberal ,2,1998,12,Joey,Hizon
Manila ,6th,Mark B. Jimenez (Mario B. Crespo)4,independent ,1,2001,12,Mark,Crespo 
Marikina City ,Lone ,Del R. De Guzman ,Lakas-CMD ,1,2001,12,Del,Guzman
Marinduque ,Lone ,Edmundo O. Reyes Jr. ,Lakas-CMD ,2,1998,12,Edmundo,Reyes
Masbate ,1st,Vida V. Espinosa ,Lakas-CMD ,3,1995,12,Vida,Espinosa
Masbate ,2nd,Emilio R. Espinosa Jr. ,NPC ,2,1998,12,Emilio,Espinosa
Masbate ,3rd,Fausto L. Seachon Jr. ,NPC ,3,1995,12,Fausto,Seachon
Misamis Occidental ,1st,Ernie D. Clarete ,REPORMA-LM ,1,2001,12,Ernie,Clarete
Misamis Occidental ,2nd,Herminia M. Ramiro ,Liberal ,1,2001,12,Herminia,Ramiro
Misamis Oriental ,1st,Oscar S. Moreno ,Lakas-CMD ,2,1998,12,Oscar,Moreno
Misamis Oriental ,2nd,Augusto H. Baculio ,LDP ,2,1998,12,Augusto,Baculio
Mountain Province ,Lone ,Roy S. Pilando ,LDP ,1,2001,12,Roy,Pilando
Muntinlupa City ,Lone ,Rozzano Rufino B. Biazon ,LDP ,1,2001,12,Rozzano,Biazon
Negros Occidental ,1st,Julio A. Ledesma IV ,NPC ,3,1995,12,Julio,Ledesma
Negros Occidental ,2nd,Alfredo G. Marañon Jr. ,NPC ,3,1995,12,Alfredo,Marañon
Negros Occidental ,3rd,Jose Carlos V. Lacson ,Lakas-CMD ,1,2001,12,Jose,Lacson
Negros Occidental ,4th,Carlos O. Cojuangco ,NPC ,2,1998,12,Carlos,Cojuangco
Negros Occidental ,5th,Jose Apolinario Lozada Jr. ,Lakas-CMD/KAMPI ,2,1998,12,Jose,Lozada
Negros Occidental ,6th,Genaro M. Alvarez Jr. ,NPC ,3,1995,12,Genaro,Alvarez
Negros Oriental ,1st,Jacinto V. Paras ,LDP ,2,1998,12,Jacinto,Paras
Negros Oriental ,2nd,Emilio C. Macias II ,NPC ,2,1998,12,Emilio,Macias
Negros Oriental ,3rd,Herminio G. Teves ,Lakas-CMD ,2,1998,12,Herminio,Teves
Northern Samar ,1st,Harlin C. Abayon ,Liberal ,2,1998,12,Harlin,Abayon
Northern Samar ,2nd,Romualdo T. Vicencio ,Lakas-CMD ,2,1998,12,Romualdo,Vicencio
Nueva Ecija ,1st,Josefina M. Joson ,NPC-BALANE ,2,1998,12,Josefina,Joson
Nueva Ecija ,2nd,Eleuterio R. Violago ,Lakas-CMD ,1,2001,12,Eleuterio,Violago
Nueva Ecija ,3rd,Aurelio M. Umali ,LDP ,1,2001,12,Aurelio,Umali
Nueva Ecija ,4th,Raul L. Villareal ,Lakas-CMD ,1,2001,12,Raul,Villareal
Nueva Vizcaya ,Lone ,Carlos M. Padilla ,LDP ,3,1995,12,Carlos,Padilla
Occidental Mindoro ,Lone ,Josephine Y. Ramirez-Sato ,Lakas-CMD ,1,2001,12,Josephine,Ramirez-Sato
Oriental Mindoro ,1st,Charity P. Leviste ,Lakas-CMD ,1,2001,12,Charity,Leviste
Oriental Mindoro ,2nd,Alfonso V. Umali Jr. ,Liberal ,1,2001,12,Alfonso,Umali
Palawan ,1st,Vicente A. Sandoval ,Lakas-CMD ,3,1995,12,Vicente,Sandoval
Palawan ,2nd,Abraham Kahlil B. Mitra ,Liberal ,1,2001,12,Abraham,Mitra
Pampanga ,1st,Francis L. Nepomuceno ,NPC ,2,1998,12,Francis,Nepomuceno
Pampanga ,2nd,Zenaida G. Cruz-Ducut ,Lakas-CMD ,3,1995,12,Zenaida,Cruz-Ducut
Pampanga ,3rd,Oscar S. Rodriguez ,Lakas-CMD ,3,1995,12,Oscar,Rodriguez
Pampanga ,4th,Juan Pablo P. Bondoc ,NPC ,2,1998,12,Juan,Bondoc
Pangasinan ,1st,Arthur F. Celeste ,Lakas-CMD ,1,2001,12,Arthur,Celeste
Pangasinan ,2nd,Amado T. Espino Jr. ,Lakas-CMD ,1,2001,12,Amado,Espino
Pangasinan ,3rd,Generoso D.C. Tulagan ,NPC ,2,1998,12,Generoso,Tulagan
Pangasinan ,4th,Jose de Venecia Jr. ,Lakas-CMD ,1,2001,12,Jose,Venecia
Pangasinan ,5th,Mark O. Cojuangco ,NPC ,1,2001,12,Mark,Cojuangco
Pangasinan ,6th,Conrado M. Estrella III ,NPC ,1,2001,12,Conrado,Estrella
Parañaque City ,Lone ,Eduardo C. Zialcita ,Lakas-CMD ,1,2001,12,Eduardo,Zialcita
Pasay City ,Lone ,Consuelo A. Dy ,Lakas-CMD ,1,2001,12,Consuelo,Dy
Pasig City ,Lone ,Noel M. Cariño5,Lakas-CMD ,1,2001,12,Noel,Cariño
Quezon ,1st,Rafael P. Nantes ,Liberal ,2,1998,12,Rafael,Nantes
Quezon ,2nd,Lynnette A. Punzalan ,Liberal ,1,2001,12,Lynnette,Punzalan
Quezon ,3rd,Aleta C. Suarez ,Liberal ,1,2001,12,Aleta,Suarez
Quezon ,4th,Georgilu R. Yumul-Hermida ,Liberal ,1,2001,12,Georgilu,Yumul-Hermida
Quezon City ,1st,Reynaldo A. Calalay6,LDP ,3,1995,12,Reynaldo,Calalay
Quezon City ,2nd,Ismael G. Mathay III ,independent ,1,2001,12,Ismael,Mathay
Quezon City ,3rd,Ma. Theresa T. Defensor ,Liberal ,1,2001,12,Theresa,Defensor
Quezon City ,4th,Nanette Castelo-Daza ,Lakas-CMD ,1,2001,12,Nanette,Castelo-Daza
Quirino ,Lone ,Junie E. Cua ,Liberal ,1,2001,12,Junie,Cua
Rizal ,1st,Michael John Jack R. Duavit ,NPC ,1,2001,12,Michael,Duavit
Rizal ,2nd,Isidro S. Rodriguez Jr. ,NPC ,2,1998,12,Isidro,Rodriguez
Romblon ,Lone ,Perpetuo B. Ylagan ,Lakas-CMD ,1,2001,12,Perpetuo,Ylagan
Samar (Western) ,1st,Reynaldo S. Uy ,Liberal ,1,2001,12,Reynaldo,Uy
Samar (Western) ,2nd,Antonio Eduardo B. Nachura ,Liberal ,2,1998,12,Antonio,Nachura
San Juan ,Lone ,Ronaldo B. Zamora ,PMP ,1,2001,12,Ronaldo,Zamora
Sarangani ,Lone ,Erwin L. Chiongbian ,Lakas-CMD/SARRO ,1,2001,12,Erwin,Chiongbian
Siquijor ,Lone ,Orlando A. Fua Jr. ,NPC ,2,1998,12,Orlando,Fua
Sorsogon ,1st,Francis G. Escudero ,NPC ,2,1998,12,Francis,Escudero
Sorsogon ,2nd,Jose G. Solis ,Lakas-CMD ,1,2001,12,Jose,Solis
South Cotabato ,1st,Darlene Antonino-Custodio ,NPC ,1,2001,12,Darlene,Antonino-Custodio
South Cotabato ,2nd,Arthur Y. Pingoy Jr. ,NPC ,1,2001,12,Arthur,Pingoy
Southern Leyte ,Lone ,Aniceto G. Saludo Jr. ,Lakas-CMD ,2,1998,12,Aniceto,Saludo
Sultan Kudarat ,Lone ,Angelo O. Montilla ,Lakas-CMD ,3,1995,12,Angelo,Montilla
Sulu ,1st,Hussin U. Amin ,Lakas-CMD ,2,1998,12,Hussin,Amin
Sulu ,2nd,Munir M. Arbison ,Lakas-CMD ,1,2001,12,Munir,Arbison
Surigao del Norte ,1st,Glenda B. Ecleo ,Lakas-CMD ,1,2001,12,Glenda,Ecleo
Surigao del Norte ,2nd,Robert Ace S. Barbers ,Lakas-CMD ,2,1998,12,Robert,Barbers
Surigao del Sur ,1st,Prospero A. Pichay Jr. ,Lakas-CMD ,2,1998,12,Prospero,Pichay
Surigao del Sur ,2nd,Jesnar R. Falcon ,Lakas-CMD ,3,1995,12,Jesnar,Falcon
Taguig City-Pateros ,Lone ,Alan Peter S. Cayetano ,Lakas-CMD ,2,1998,12,Alan,Cayetano
Tarlac ,1st,Gilberto C. Teodoro Jr. ,NPC ,2,1998,12,Gilberto,Teodoro
Tarlac ,2nd,Benigno S. Aquino III ,Liberal ,2,1998,12,Benigno,Aquino
Tarlac ,3rd,Jesli A. Lapus Jr. ,NPC ,2,1998,12,Jesli,Lapus
Tawi-Tawi ,Lone ,Soraya C. Jaafar ,Lakas-CMD ,1,2001,12,Soraya,Jaafar
Valenzuela City ,1st,Sherwin T. Gatchalian ,NPC ,1,2001,12,Sherwin,Gatchalian
Valenzuela City ,2nd,Magtanggol T. Gunigundo ,Lakas-CMD ,1,2001,12,Magtanggol,Gunigundo
Zambales ,1st,James J. Gordon Jr. ,Lakas-CMD ,3,1995,12,James,Gordon
Zambales ,2nd,Ruben D. Torres ,Lakas-CMD ,1,2001,12,Ruben,Torres
Zamboanga City ,Lone ,Celso L. Lobregat ,LDP ,2,1998,12,Celso,Lobregat
Zamboanga del Norte ,1st,Romeo G. Jalosjos7,PDSP ,3,1995,12,Romeo,Jalosjos
Zamboanga del Norte ,"",Cecilia G. Jalosjos-Carreon8,Reporma-LM ,1,2002,12,Cecilia,Jalosjos-Carreon
Zamboanga del Norte ,2nd,Roseller L. Barinaga ,NPC ,2,1998,12,Roseller,Barinaga
Zamboanga del Norte ,3rd,Angel M. Carloto ,NPC ,1,2001,12,Angel,Carloto
Zamboanga del Sur ,1st,Isidoro E. Real Jr. ,Lakas-CMD ,1,2001,12,Isidoro,Real
Zamboanga del Sur ,2nd,Nenet S. San Juan ,Lakas-CMD ,1,2001,12,Nenet,Juan
Zamboanga Sibugay ,Lone ,Belma A. Cabilao ,Lakas-CMD ,1,2001,12,Belma,Cabilao
