Province,District,Name,Party,,,Year,First,Last
Abra ,Lone ,Luis P. Bersamin Jr. ,PDSP ,1,2001,12,Luis,Bersamin
Agusan del Norte ,1st,Leovigildo B. Banaag ,LDP/NPC ,2,1998,12,Leovigildo,Banaag
Agusan del Norte ,2nd,"Edelmiro A. Amante, Sr. ",Lakas-CMD ,1,2001,12,Edelmiro,Amante
Agusan del Sur ,Lone ,Rodolfo G. Plaza ,LDP ,1,2001,12,Rodolfo,Plaza
Aklan ,Lone ,Gabrielle V. Calizo ,LDP ,1,2001,12,Gabrielle,Calizo
Albay ,1st,Krisel B. Lagman-Luistro ,Lakas-CMD ,2,1998,12,Krisel,Lagman-Luistro
Albay ,2nd,Carlos R. Imperial ,NPC ,1,2001,12,Carlos,Imperial
Albay ,3rd,Joey S. Salceda ,Lakas-CMD ,2,1998,12,Joey,Salceda
Antipolo City ,Lone ,Victor R. Sumulong ,LDP ,2,1998,12,Victor,Sumulong
Antique ,Lone ,Exequiel B. Javier ,Lakas-CMD ,1,2001,12,Exequiel,Javier
Apayao ,Lone ,Elias C. Bulut Jr ,NPC ,1,2001,12,Elias,Jr
Aurora ,Lone ,Bellaflor J. Angara-Castillo ,LDP ,1,2001,12,Bellaflor,Angara-Castillo
Bacolod City ,Lone ,Monico O. Puentevella ,Lakas-CMD ,1,2001,12,Monico,Puentevella
Baguio City ,Lone ,Mauricio G. Domogan ,Lakas-CMD ,1,2001,12,Mauricio,Domogan
Basilan ,Lone ,Abdulgani A. Salapuddin ,Lakas-CMD ,2,1998,12,Abdulgani,Salapuddin
Bataan ,1st,Antonino P. Roman ,independent ,2,1998,12,Antonino,Roman
Bataan ,2nd,Enrique T. Garcia Jr. ,LDP ,3,1995,12,Enrique,Garcia
Batanes ,Lone ,Florencio B. Abad ,Liberal ,3,1995,12,Florencio,Abad
Batangas ,1st,Eileen Ermita-Buhain ,Lakas-CMD ,1,2001,12,Eileen,Ermita-Buhain
Batangas ,2nd,Francisco S. Perez II ,Lakas-CMD ,1,2001,12,Francisco,Perez
Batangas ,3rd,Victoria H. Reyes ,Lakas-CMD ,1,2001,12,Victoria,Reyes
Batangas ,4th,Oscar L. Gozos ,Lakas-CMD ,1,2001,12,Oscar,Gozos
Benguet ,Lone ,Samuel M. Dangwa ,REPORMA-LM ,1,2001,12,Samuel,Dangwa
Biliran ,Lone ,"Gerardo S. Espina, Sr. ",NPC/Bando Espina ,3,1995,12,Gerardo,Espina
Bohol ,1st,Edgar M. Chatto ,Lakas-CMD ,1,2001,12,Edgar,Chatto
Bohol ,2nd,Roberto Cajes ,Lakas-CMD ,1,2001,12,Roberto,Cajes
Bohol ,3rd,Eladio M. Jala ,Lakas-CMD ,2,1998,12,Eladio,Jala
Bukidnon ,1st,J.R. Nereus O. Acosta ,Liberal ,2,1998,12,J.R.,Acosta
Bukidnon ,2nd,Berthobal R. Ancheta ,Lakas-CMD ,1,2001,12,Berthobal,Ancheta
Bukidnon ,3rd,Juan Miguel F. Zubiri ,Lakas-CMD ,2,1998,12,Juan,Zubiri
Bulacan ,1st,Wilhelmino M. Sy-Alvarado ,Lakas-CMD ,2,1998,12,Wilhelmino,Sy-Alvarado
Bulacan ,2nd,Wilfrido B. Villarama ,Aksyon ,1,2001,12,Wilfrido,Villarama
Bulacan ,3rd,Lorna C. Silverio ,Lakas-CMD ,1,2001,12,Lorna,Silverio
Bulacan ,4th,Reylina G. Nicolas ,Lakas-CMD ,1,2001,12,Reylina,Nicolas
Cagayan ,1st,Juan C. Ponce Enrile Jr. ,independent ,2,1998,12,Juan,Enrile
Cagayan ,2nd,Celia T. Taganas-Layus ,NPC ,1,2001,12,Celia,Taganas-Layus
Cagayan ,3rd,Manuel N. Mamba ,Lakas-CMD ,1,2001,12,Manuel,Mamba
Cagayan de Oro City ,Lone ,Constantino G. Jaraula ,LDP ,2,1998,12,Constantino,Jaraula
Caloocan City ,1st,Enrico R. Echiverri ,Lakas-CMD ,2,1998,12,Enrico,Echiverri
Caloocan City ,2nd,Edgar R. Erice ,Lakas-CMD ,1,2001,12,Edgar,Erice
Camarines Norte ,Lone ,Renato J. Unico Jr. ,Lakas-CMD ,1,2001,12,Renato,Unico
Camarines Sur ,1st,Ronaldo G. Andaya ,Lakas-CMD ,2,1998,12,Ronaldo,Andaya
Camarines Sur ,2nd,Sulpicio S. Roco Jr. ,Aksyon ,1,2001,12,Sulpicio,Roco
Camarines Sur ,3rd,Felix William B. Fuentebella ,NPC ,1,2001,12,Felix,Fuentebella
Camarines Sur ,4th,Felix R. Alfelor Jr. ,Lakas-CMD ,1,2001,12,Felix,Alfelor
Camiguin ,Lone ,Jurdin Jesus M. Romualdo ,NPC ,2,1998,12,Jurdin,Romualdo
Capiz ,1st,Rodriguez D. Dadivas ,Liberal ,1,2001,12,Rodriguez,Dadivas
Capiz ,2nd,Fredenil H. Castro ,Liberal ,1,2001,12,Fredenil,Castro
Catanduanes ,Lone ,Joseph A. Santiago ,NPC ,1,2001,12,Joseph,Santiago
Cavite ,1st,Plaridel M. Abaya ,Liberal ,3,1995,12,Plaridel,Abaya
Cavite ,2nd,Gilbert C. Remulla ,LDP ,1,2001,12,Gilbert,Remulla
Cavite ,3rd,Napoleon R. Beratio1,LDP/MAGDALO ,2,1998,12,Napoleon,Beratio
Cebu ,1st,Jose R. Gullas ,Alayon ,1,2001,12,Jose,Gullas
Cebu ,2nd,Simeon L. Kintanar ,NPC/Alayon ,2,1998,12,Simeon,Kintanar
Cebu ,3rd,Antonio P. Yapha Jr. ,NPC/Alayon ,2,1998,12,Antonio,Yapha
Cebu ,4th,Clavel A. Martinez ,Lakas-CMD ,2,1998,12,Clavel,Martinez
Cebu ,5th,Joseph H. Durano ,NPC/Alayon ,2,1998,12,Joseph,Durano
Cebu ,6th,Nerissa Corazon Soon-Ruiz ,Alayon ,1,2001,12,Nerissa,Soon-Ruiz
Cebu City ,1st,Raul V. Del Mar ,Lakas-CMD ,1,2001,12,Raul,Mar
Cebu City ,2nd,Antonio V. Cuenco ,Lakas-CMD ,1,2001,12,Antonio,Cuenco
Compostela Valley ,1st,Manuel E. Zamora ,Lakas-CMD ,1,2001,12,Manuel,Zamora
Compostela Valley ,2nd,Prospero S. Amatong ,Lakas-CMD ,2,1998,12,Prospero,Amatong
Cotabato (North) ,1st,Emmylou J. Taliño-Santos ,independent ,1,2001,12,Emmylou,Taliño-Santos
Cotabato (North) ,2nd,Gregorio T. Ipong ,NPC ,2,1998,12,Gregorio,Ipong
Davao City ,1st,Prospero C. Nograles ,Lakas-CMD ,1,2001,12,Prospero,Nograles
Davao City ,2nd,Vincent J. Garcia ,NPC ,1,2001,12,Vincent,Garcia
Davao City ,3rd,Ruy Elias C. Lopez ,NPC ,2,1998,12,Ruy,Lopez
Davao del Norte ,1st,Arrel R. Olaño ,Lakas-CMD ,1,2001,12,Arrel,Olaño
Davao del Norte ,2nd,Antonio R. Floirendo Jr. ,Lakas-CMD ,2,1998,12,Antonio,Floirendo
Davao del Sur ,1st,Douglas R.A. Cagas ,NPC ,2,1998,12,Douglas,Cagas
Davao del Sur ,2nd,Claude P. Bautista ,NPC ,1,2001,12,Claude,Bautista
Davao Oriental ,1st,Corazon N. Malanyaon ,NPC ,1,2001,12,Corazon,Malanyaon
Davao Oriental ,2nd,Mayo Z. Almario ,Lakas-CMD ,2,1998,12,Mayo,Almario
Eastern Samar ,Lone ,Marcelino C. Libanan ,NPC ,2,1998,12,Marcelino,Libanan
Guimaras ,Lone ,Edgar T. Espinosa ,Lakas-CMD/KAMPI ,1,2001,12,Edgar,Espinosa
Ifugao ,Lone ,Solomon R. Chungalao ,Liberal ,1,2001,12,Solomon,Chungalao
Ilocos Norte ,1st,Roque R. Ablan Jr. ,Lakas-CMD/KBL ,1,2001,12,Roque,Ablan
Ilocos Norte ,2nd,Imee R. Marcos ,KBL ,2,1998,12,Imee,Marcos
Ilocos Sur ,1st,Salacnib F. Baterina ,Lakas-CMD ,2,1998,12,Salacnib,Baterina
Ilocos Sur ,2nd,Eric D. Singson ,Liberal ,1,2001,12,Eric,Singson
Iloilo ,1st,Oscar G. Garin ,Lakas-CMD ,1,2001,12,Oscar,Garin
Iloilo ,2nd,Augusto L. Syjuco Jr. ,Lakas-CMD ,2,1998,12,Augusto,Syjuco
Iloilo ,3rd,"Arthur D. Defensor, Sr. ",Lakas-CMD ,1,2001,12,Arthur,Defensor
Iloilo ,4th,Narciso D. Monfort ,Lakas-CMD ,3,1995,12,Narciso,Monfort
Iloilo ,5th,Rolex T. Suplico ,LDP ,2,1998,12,Rolex,Suplico
Iloilo City ,Lone ,Raul M. Gonzalez ,Nacionalista ,3,1995,12,Raul,Gonzalez
Isabela ,1st,Rodolfo B. Albano Jr. ,Lakas-CMD ,1,2001,12,Rodolfo,Albano
Isabela ,2nd,Edwin C. Uy ,Lakas-CMD ,1,2001,12,Edwin,Uy
Isabela ,3rd,Faustino G. Dy III ,Lakas-CMD ,1,2001,12,Faustino,Dy
Isabela ,4th,Antonio M. Abaya2,Lakas-CMD ,1,2001,12,Antonio,Abaya
Isabela ,"",Giorgidi B. Aggabao3,NPC ,1,2003,12,Giorgidi,Aggabao
Kalinga ,Lone ,Laurence B. Wacnang ,Liberal ,2,1998,12,Laurence,Wacnang
La Union ,1st,Manuel C. Ortega ,NPC ,2,1998,12,Manuel,Ortega
La Union ,2nd,Tomas M. Dumpit ,NPC ,2,1998,12,Tomas,Dumpit
Laguna ,1st,Uliran T. Joaquin ,NPC ,2,1998,12,Uliran,Joaquin
Laguna ,2nd,Joaquin M. Chipeco Jr. ,KAMPI/LDP ,3,1995,12,Joaquin,Chipeco
Laguna ,3rd,Danton Q. Bueser ,Liberal ,2,1998,12,Danton,Bueser
Laguna ,4th,Rodolfo S. San Luis ,LDP ,2,1998,12,Rodolfo,Luis
Lanao del Norte ,1st,Alipio V. Badelles ,NPC ,2,1998,12,Alipio,Badelles
Lanao del Norte ,2nd,Abdullah D. Dimaporo ,Lakas-CMD ,1,2001,12,Abdullah,Dimaporo
Lanao del Sur ,1st,Faysah R.P.M. Dumarpa ,Lakas-CMD ,1,2001,12,Faysah,Dumarpa
Lanao del Sur ,2nd,Benasing O. Macarambon Jr. ,NPC ,2,1998,12,Benasing,Macarambon
Las Piñas City ,Lone ,Cynthia A. Villar ,independent ,1,2001,12,Cynthia,Villar
Leyte ,1st,Mario Teodoro E. Failon(Mario Teodoro F. Etong) ,independent ,1,2001,12,Mario,Etong 
Leyte ,2nd,Trinidad G. Apostol ,Lakas-CMD ,1,2001,12,Trinidad,Apostol
Leyte ,3rd,Eduardo K. Veloso ,Lakas-CMD/NPC ,2,1998,12,Eduardo,Veloso
Leyte ,4th,"Eufrocino M. Codilla, Sr. ",Lakas-CMD ,1,2001,12,Eufrocino,Codilla
Leyte ,5th,Carmen L. Cari ,Lakas-CMD ,1,2001,12,Carmen,Cari
Maguindanao ,1st,Didagen P. Dilangalen ,PMP ,3,1995,12,Didagen,Dilangalen
Maguindanao ,2nd,Guimid P. Matalam ,Lakas-CMD ,1,2001,12,Guimid,Matalam
Makati City ,1st,Teodoro L. Locsin Jr. ,PDP-Laban ,1,2001,12,Teodoro,Locsin
Makati City ,2nd,Agapito A. Aquino ,LDP ,2,1998,12,Agapito,Aquino
Malabon City-Navotas ,Lone ,Federico S. Sandoval II ,Liberal ,2,1998,12,Federico,Sandoval
Mandaluyong City ,Lone ,Neptali M. Gonzales II ,Lakas-CMD ,3,1995,12,Neptali,Gonzales
Manila ,1st,Ernesto A. Nieva ,Lakas-CMD ,2,1998,12,Ernesto,Nieva
Manila ,2nd,Jaime C. Lopez ,Lakas-CMD ,1,2001,12,Jaime,Lopez
Manila ,3rd,Harry C. Angping ,NPC ,2,1998,12,Harry,Angping
Manila ,4th,Rodolfo C. Bacani ,Liberal ,2,1998,12,Rodolfo,Bacani
