Province,District,Name,Party,,,Year,First,Last
Cavite ,4th,"Elpidio Barzaga, Jr. ",NUP ,1,Majority ,18,Elpidio,Barzaga
Cavite ,5th,Dahlia Loyola ,NPC ,1,Majority ,18,Dahlia,Loyola
Cavite ,6th,Luis Ferrer IV ,NUP ,3,Majority ,18,Luis,Ferrer
Cavite ,7th,Jesus Crispin Remulla ,Nacionalista ,1,Majority ,18,Jesus,Remulla
Cavite ,8th,Abraham Tolentino ,NUP ,3,Majority ,18,Abraham,Tolentino
Cebu ,1st,Eduardo Gullas ,Nacionalista[1],1,Majority ,18,Eduardo,Gullas
Cebu ,2nd,Wilfredo Caminero ,NUP ,3,Majority ,18,Wilfredo,Caminero
Cebu ,3rd,Pablo John Garcia ,NUP/1-Cebu,1,Majority ,18,Pablo,Garcia
Cebu ,4th,Janice Salimbangon ,NUP/1-Cebu,1,Majority ,18,Janice,Salimbangon
Cebu ,5th,Duke Frasco ,Lakas ,1,Majority ,18,Duke,Frasco
Cebu ,6th,Emmarie Lollipop Ouano-Dizon ,PDP-Laban ,1,Majority ,18,Emmarie,Ouano-Dizon
Cebu ,7th,Peter John Calderon ,NPC ,2,Majority ,18,Peter,Calderon
Cebu City ,1st,Raul del Mar ,Liberal ,3,Majority ,18,Raul,Mar
Cebu City ,2nd,Rodrigo Abellanosa ,LDP ,3,Majority ,18,Rodrigo,Abellanosa
Compostela Valley ,1st,Manuel Zamora ,HNP ,1,Majority ,18,Manuel,Zamora
Compostela Valley ,2nd,Ruwel Peter Gonzaga ,PDP-Laban ,2,Majority ,18,Ruwel,Gonzaga
Cotabato ,1st,Joel Sacdalan ,PDP-Laban ,1,Majority ,18,Joel,Sacdalan
Cotabato ,2nd,Rudy Caoagdan ,PDP-Laban ,1,Majority ,18,Rudy,Caoagdan
Cotabato ,3rd,Jose Tejada ,Nacionalista ,3,Majority ,18,Jose,Tejada
Davao City ,1st,Paolo Duterte ,NUP/HTL ,1,Majority ,18,Paolo,Duterte
Davao City ,2nd,Vincent Garcia ,HNP ,1,Majority ,18,Vincent,Garcia
Davao City ,3rd,Isidro Ungab ,HNP ,1,Majority ,18,Isidro,Ungab
Davao del Norte ,1st,Pantaleon Alvarez ,PDP-Laban ,2,Majority ,18,Pantaleon,Alvarez
Davao del Norte ,2nd,Alan Dujali ,PDP-Laban ,1,Majority ,18,Alan,Dujali
Davao del Sur ,Lone ,Mercedes Cagas ,Nacionalista ,3,Majority ,18,Mercedes,Cagas
Davao Occidental ,Lone ,Lorna Bautista-Bandigan ,NPC ,2,Majority ,18,Lorna,Bautista-Bandigan
Davao Oriental ,1st,Corazon Nuñez-Malanyaon ,Nacionalista ,2,Majority ,18,Corazon,Nuñez-Malanyaon
Davao Oriental ,2nd,Joel Mayo Almario ,PDP-Laban ,2,Majority ,18,Joel,Almario
Dinagat Islands ,Lone ,Alan Ecleo ,PDP-Laban ,1,Majority ,18,Alan,Ecleo
Eastern Samar ,Lone ,Maria Fe Abunda ,PDP-Laban ,1,Majority ,18,Maria,Abunda
Guimaras ,Lone ,Lucille Nava ,PDP-Laban ,2,Majority ,18,Lucille,Nava
Ifugao ,Lone ,Solomon Chungalao ,NPC ,1,Majority ,18,Solomon,Chungalao
Iligan ,Lone ,Frederick Siao ,Nacionalista ,2,Majority ,18,Frederick,Siao
Ilocos Norte ,1st,Ria Farinas ,PDP-Laban ,1,Majority ,18,Ria,Farinas
Ilocos Norte ,2nd,Eugenio Barba ,Nacionalista ,1,Majority ,18,Eugenio,Barba
Ilocos Sur ,1st,Deogracias Victor Savellano ,Nacionalista ,2,Majority ,18,Deogracias,Savellano
Ilocos Sur ,2nd,Kristine Singson ,Bileg Ti Ilokano ,1,Minority ,18,Kristine,Singson
Iloilo ,1st,Janette Garin ,Nacionalista ,1,Minority ,18,Janette,Garin
Iloilo ,2nd,Michael Gorriceta ,Nacionalista ,1,Majority ,18,Michael,Gorriceta
Iloilo ,3rd,Lorenz Defensor ,PDP-Laban ,1,Majority ,18,Lorenz,Defensor
Iloilo ,4th,Braeden John Biron ,Nacionalista ,1,Majority ,18,Braeden,Biron
Iloilo ,5th,Raul Tupas ,Nacionalista ,2,Majority ,18,Raul,Tupas
Iloilo City ,Lone ,Julienne Baronda ,NUP ,1,Majority ,18,Julienne,Baronda
Isabela ,1st,Antonio Albano ,NUP ,1,Majority ,18,Antonio,Albano
Isabela ,2nd,Ed Christopher Go ,Nacionalista ,1,Majority ,18,Ed,Go
Isabela ,3rd,Ian Dy ,NPC ,1,Majority ,18,Ian,Dy
Isabela ,4th,Sheena Tan ,PFP ,1,Majority ,18,Sheena,Tan
Isabela ,5th,Faustino Michael Dy III ,PFP ,1,Majority ,18,Faustino,Dy
Isabela ,6th,Faustino Michael Dy V ,NUP ,1,Majority ,18,Faustino,Dy
Kalinga ,Lone ,Allen Jesse Manaogang ,Nacionalista ,2,Majority ,18,Allen,Manaogang
La Union ,1st,Pablo Ortega ,NPC ,2,Majority ,18,Pablo,Ortega
La Union ,2nd,Sandra Eriguel ,PDP-Laban ,2,Majority ,18,Sandra,Eriguel
Laguna ,1st,Dan Fernandez ,PDP-Laban ,1,Majority ,18,Dan,Fernandez
Laguna ,2nd,Ruth Hernandez ,Independent ,1,Majority ,18,Ruth,Hernandez
Laguna ,3rd,Sol Aragones ,Nacionalista ,3,Majority ,18,Sol,Aragones
Laguna ,4th,Benjamin Agarao ,PDP-Laban ,3,Majority ,18,Benjamin,Agarao
Lanao del Norte ,1st,Mohammed Khalid Dimaporo ,PDP-Laban ,2,Majority ,18,Mohammed,Dimaporo
Lanao del Norte ,2nd,Abdullah Dimaporo ,NPC ,3,Majority ,18,Abdullah,Dimaporo
Lanao del Sur ,1st,Ansaruddin Alonto Adiong ,Nacionalista ,2,Majority ,18,Ansaruddin,Adiong
Lanao del Sur ,2nd,Farouk Macarambon Jr. ,Nacionalista ,1,Majority ,18,Farouk,Macarambon
Lapu-Lapu City ,Lone ,Paz Radaza ,Lakas ,1,Majority ,18,Paz,Radaza
Las Piñas ,Lone ,Camille Villar ,Nacionalista ,1,Majority ,18,Camille,Villar
Leyte ,1st,Ferdinand Martin Romualdez ,Lakas ,1,Majority ,18,Ferdinand,Romualdez
Leyte ,2nd,Lolita Javier ,PFP ,1,Majority ,18,Lolita,Javier
Leyte ,3rd,Vicente Veloso ,NUP ,2,Majority ,18,Vicente,Veloso
Leyte ,4th,Lucy Gomez ,PDP-Laban ,3,Majority ,18,Lucy,Gomez
Leyte ,5th,Carl Cari ,PFP ,1,Majority ,18,Carl,Cari
Maguindanao ,1st,Datu Roonie Sinsuat Sr. ,PDP-Laban ,1,Majority ,18,Datu,Sinsuat
Maguindanao ,2nd,Esmael Mangudadatu ,PDP-Laban ,1,Majority ,18,Esmael,Mangudadatu
Makati ,1st,Romulo Kid Peña Jr. ,Liberal ,1,Majority ,18,Romulo,Peña
Makati ,2nd,Luis Campos Jr. ,NPC ,2,Majority ,18,Luis,Campos
Malabon ,Lone ,Josephine Lacson-Noel ,NPC ,1,Majority ,18,Josephine,Lacson-Noel
Mandaluyong ,Lone ,Neptali Gonzales II ,PDP-Laban ,1,Majority ,18,Neptali,Gonzales
Manila ,1st,Manuel Luis Lopez ,NPC ,2,Majority ,18,Manuel,Lopez
Manila ,2nd,Rolando Valeriano ,NUP/Asenso Manileño ,1,Majority ,18,Rolando,Valeriano
Manila ,3rd,Yul Servo ,PDP-Laban/Asenso Manileño ,2,Majority ,18,Yul,Servo
Manila ,4th,Edward Maceda ,PMP ,2,Majority ,18,Edward,Maceda
Manila ,5th,Cristal Bagatsing ,PDP-Laban/KABAKA ,2,Majority ,18,Cristal,Bagatsing
Manila ,6th,Benny M. Abante ,NUP/Asenso Manileño ,1,Minority ,18,Benny,Abante
Marikina ,1st,Bayani Fernando ,NPC ,2,Minority ,18,Bayani,Fernando
Marikina ,2nd,Stella Quimbo ,Liberal ,1,Minority ,18,Stella,Quimbo
Marinduque ,Lone ,Lord Allan Jay Velasco ,PDP-Laban ,2,Majority ,18,Lord,Velasco
Masbate ,1st,Narciso Bravo Jr. ,NUP ,1,Majority ,18,Narciso,Bravo
Masbate ,2nd,Elisa Olga Kho ,PDP-Laban ,3,Majority ,18,Elisa,Kho
Masbate ,3rd,Wilton Kho ,PDP-Laban ,1,Majority ,18,Wilton,Kho
Misamis Occidental ,1st,Diego Ty ,NUP ,1,Majority ,18,Diego,Ty
Misamis Occidental ,2nd,Henry Oaminal ,Nacionalista ,3,Majority ,18,Henry,Oaminal
Misamis Oriental ,1st,Christian Unabia ,Lakas ,1,Majority ,18,Christian,Unabia
Misamis Oriental ,2nd,Juliette Uy ,NUP ,3,Majority ,18,Juliette,Uy
Mountain Province ,Lone ,Maximo Dalog Jr. ,Nacionalista ,1,Majority ,18,Maximo,Dalog
Muntinlupa ,Lone ,Ruffy Biazon ,PDP-Laban ,2,Majority ,18,Ruffy,Biazon
Navotas ,Lone ,John Rey Tiangco ,Partido Navoteño ,1,Majority ,18,John,Tiangco
Negros Occidental ,1st,Gerardo Valmayor ,NPC ,1,Majority ,18,Gerardo,Valmayor
