Province,District,Name,Party,,,Year,First,Last
Abra ,Lone ,Jocelyn Bernos ,Liberal ,2,Majority ,16,Jocelyn,Bernos
Agusan del Norte ,1st,Lawrence Fortun ,Liberal ,1,Majority ,16,Lawrence,Fortun
Agusan del Norte ,2nd,Erlpe John Amante ,Kusug Agusanon ,1,Majority ,16,Erlpe,Amante
Agusan del Sur ,1st,Maria Valentina Plaza ,NUP ,2,Majority ,16,Maria,Plaza
Agusan del Sur ,2nd,Bebs Mellana ,NUP ,2,Majority ,16,Bebs,Mellana
Aklan ,Lone ,Ted Haresco Jr. ,Independent ,2,Majority ,16,Ted,Haresco
Albay ,1st,Edcel Lagman Jr. ,Liberal ,1,Majority ,16,Edcel,Lagman
Albay ,2nd,Al Francis Bichara ,Nacionalista ,3,Majority ,16,Al,Bichara
Albay ,3rd,Fernando V. Gonzalez ,Liberal ,2,Majority ,16,Fernando,Gonzalez
Antipolo ,1st,Roberto Puno ,NUP ,3,Majority ,16,Roberto,Puno
Antipolo ,2nd,Romeo Acop ,Liberal ,2,Majority ,16,Romeo,Acop
Antique ,Lone ,Paolo Javier ,Liberal ,2,Majority ,16,Paolo,Javier
Apayao ,Lone ,Eleanor Bulut-Begtang ,NPC ,2,Majority ,16,Eleanor,Bulut-Begtang
Aurora ,Lone ,Bella Angara ,LDP ,1,Minority ,16,Bella,Angara
Bacolod ,Lone ,Evelio Bing Leonardia ,NPC ,1,Majority ,16,Evelio,Leonardia
Baguio ,Lone ,Nicasio Aliping Jr. ,Independent ,1,Majority ,16,Nicasio,Aliping
Basilan ,Lone ,Jim Hataman Salliman ,Liberal ,2,Majority ,16,Jim,Salliman
Bataan ,1st,Herminia Roman ,Liberal ,3,Majority ,16,Herminia,Roman
Bataan ,2nd,Enrique T. Garcia Jr.1,NUP ,1,Majority ,16,Enrique,Jr.
Batanes ,Lone ,Henedina Abad ,Liberal ,2,Majority ,16,Henedina,Abad
Batangas ,1st,Eileen Ermita-Buhain ,Lakas ,1,Majority ,16,Eileen,Ermita-Buhain
Batangas ,2nd,Raneo Abu ,Nacionalista ,1,Majority ,16,Raneo,Abu
Batangas ,3rd,Nelson Collantes ,Liberal ,2,Majority ,16,Nelson,Collantes
Batangas ,4th,Mark Llandro Mendoza ,NPC ,3,Majority ,16,Mark,Mendoza
Benguet ,Lone ,Ronald Cosalan ,Liberal ,2,Majority ,16,Ronald,Cosalan
Biliran ,Lone ,Rogelio Espina ,Liberal ,2,Majority ,16,Rogelio,Espina
Bohol ,1st,Rene Relampagos ,Liberal ,2,Majority ,16,Rene,Relampagos
Bohol ,2nd,Erico Aristotle Aumentado ,NPC ,1,Majority ,16,Erico,Aumentado
