Province,District,Name,Party,,,Year,First,Last
Bohol ,3rd,Arthur Yap ,NPC ,2,Majority ,16,Arthur,Yap
Bukidnon ,1st,Malou Acosta-Alba ,Liberal ,1,Majority ,16,Malou,Acosta-Alba
Bukidnon ,2nd,Florencio Flores ,Nacionalista ,2,Minority ,16,Florencio,Flores
Bukidnon ,3rd,Jose Zubiri III ,Liberal/BPP ,3,Majority ,16,Jose,Zubiri
Bukidnon ,4th,Oneil Roque ,NPC ,1,Majority ,16,Oneil,Roque
Bulacan ,1st,Ma. Victoria Sy-Alvarado ,NUP ,3,Majority ,16,Victoria,Sy-Alvarado
Bulacan ,2nd,Apol Pancho ,NUP ,1,Independent minority ,16,Apol,Pancho
Bulacan ,3rd,Jonjon Mendoza ,Liberal ,2,Majority ,16,Jonjon,Mendoza
Bulacan ,4th,Linabelle Ruth Villarica ,Liberal ,2,Majority ,16,Linabelle,Villarica
Cagayan ,1st,Sally Ponce Enrile ,NPC ,1,Majority ,16,Sally,Enrile
Cagayan ,2nd,Aline Vargas-Alfonso ,NUP ,1,Majority ,16,Aline,Vargas-Alfonso
Cagayan ,3rd,Randolph Ting ,NUP ,2,Majority ,16,Randolph,Ting
Cagayan de Oro ,1st,Rolando Uy ,Liberal ,1,Majority ,16,Rolando,Uy
Cagayan de Oro ,2nd,Rufus Rodriguez ,CDP ,3,Majority ,16,Rufus,Rodriguez
Caloocan ,1st,Enrico Echiverri ,NPC ,1,Majority ,16,Enrico,Echiverri
Caloocan ,2nd,Edgar Erice ,Liberal ,1,Majority ,16,Edgar,Erice
Camarines Norte ,1st,Cathy Barcelona-Reyes ,NUP ,1,Majority ,16,Cathy,Barcelona-Reyes
Camarines Norte ,2nd,Elmer Panotes2,Lakas ,2,Majority ,16,Elmer,Panotes
Camarines Sur ,1st,Rolando Andaya Jr. ,Lakas ,2,Majority ,16,Rolando,Andaya
Camarines Sur ,2nd,Dato Arroyo ,Lakas ,3,Independent minority ,16,Dato,Arroyo
Camarines Sur ,3rd,Leni Robredo ,Liberal ,1,Majority ,16,Leni,Robredo
Camarines Sur ,4th,Felix William Fuentebella ,NPC ,1,Majority ,16,Felix,Fuentebella
Camarines Sur ,5th,Salvio Fortuno ,Liberal ,2,Majority ,16,Salvio,Fortuno
Camiguin ,Lone ,Xavier Jesus Romualdo ,NPC ,1,Majority ,16,Xavier,Romualdo
Capiz ,1st,Antonio Del Rosario ,Liberal ,3,Majority ,16,Antonio,Rosario
Capiz ,2nd,Fredenil Castro ,NUP ,1,Majority ,16,Fredenil,Castro
Catanduanes ,Lone ,Cesar Sarmiento ,Liberal ,2,Majority ,16,Cesar,Sarmiento
Cavite ,1st,Francis Abaya ,Liberal ,1,Majority ,16,Francis,Abaya
Cavite ,2nd,Lani Mercado ,Lakas ,2,Independent minority ,16,Lani,Mercado
Cavite ,3rd,Alex Advincula ,Liberal ,1,Majority ,16,Alex,Advincula
Cavite ,4th,Elpidio Barzaga Jr. ,NUP ,3,Majority ,16,Elpidio,Barzaga
Cavite ,5th,Roy Loyola ,Liberal ,2,Majority ,16,Roy,Loyola
Cavite ,6th,Luis Ferrer IV ,NUP/Magdalo ,1,Independent minority ,16,Luis,Ferrer
Cavite ,7th,Abraham Tolentino ,Liberal ,1,Majority ,16,Abraham,Tolentino
Cebu ,1st,Gerald Anthony Gullas Jr. ,Nacionalista ,1,Majority ,16,Gerald,Gullas
Cebu ,2nd,Wilfredo Caminero ,Liberal ,1,Majority ,16,Wilfredo,Caminero
Cebu ,3rd,Gwendolyn Garcia ,UNA/1-Cebu,1,Majority ,16,Gwendolyn,Garcia
Cebu ,4th,Benhur Salimbangon ,NUP/1-Cebu,2,Majority ,16,Benhur,Salimbangon
Cebu ,5th,Joseph Ace Durano ,Liberal ,1,Majority ,16,Joseph,Durano
Cebu ,6th,Gabriel Luis Quisumbing ,Liberal ,2,Majority ,16,Gabriel,Quisumbing
Cebu City ,1st,Raul del Mar ,Liberal/BOPK ,1,Majority ,16,Raul,Mar
Cebu City ,2nd,Bebot Abellanosa ,Liberal/BOPK ,1,Majority ,16,Bebot,Abellanosa
Compostela Valley ,1st,Maria Carmen Zamora ,Liberal ,2,Majority ,16,Maria,Zamora
Compostela Valley ,2nd,Rommel Amatong ,Aksyon Demokratiko ,3,Majority ,16,Rommel,Amatong
Cotabato (North) ,1st,Jesus Sacdalan ,Liberal ,2,Majority ,16,Jesus,Sacdalan
Cotabato (North) ,2nd,Nancy Catamco ,Liberal ,2,Majority ,16,Nancy,Catamco
Cotabato (North) ,3rd,Ping-Ping Tejada ,Nacionalista ,1,Minority ,16,Ping-Ping,Tejada
Davao City ,1st,Karlo Nograles ,NUP ,2,Majority ,16,Karlo,Nograles
Davao City ,2nd,Mylene Garcia-Albano ,Liberal ,2,Majority ,16,Mylene,Garcia-Albano
Davao City ,3rd,Isidro Ungab ,Liberal ,3,Majority ,16,Isidro,Ungab
Davao (Davao del Norte) ,1st,Anthony del Rosario ,Liberal ,2,Majority ,16,Anthony,Rosario
Davao (Davao del Norte) ,2nd,Antonio Lagdameo Jr ,NUP ,3,Majority ,16,Antonio,Jr
Davao del Sur ,1st,Mercedes Cagas ,Nacionalista ,1,Majority ,16,Mercedes,Cagas
Davao del Sur ,2nd,Franklin Bautista ,Liberal ,3,Majority ,16,Franklin,Bautista
Davao Oriental ,1st,Nelson Dayanghirang ,Nacionalista ,3,Majority ,16,Nelson,Dayanghirang
Davao Oriental ,2nd,Thelma Almario ,Lakas ,3,Majority ,16,Thelma,Almario
Dinagat Islands ,Lone ,Kaka Bag-ao ,Liberal ,2,Majority ,16,Kaka,Bag-ao
Eastern Samar ,Lone ,Ben Evardone ,Liberal ,2,Majority ,16,Ben,Evardone
Guimaras ,Lone ,Joaquin Carlos Rahman Nava ,Liberal ,3,Majority ,16,Joaquin,Nava
Ifugao ,Lone ,Teodoro Baguilat ,Liberal ,2,Majority ,16,Teodoro,Baguilat
Iligan ,Lone ,Vicente Belmonte Jr. ,Liberal ,3,Majority ,16,Vicente,Belmonte
Ilocos Norte ,1st,Rodolfo Fariñas ,Nacionalista ,2,Majority ,16,Rodolfo,Fariñas
Ilocos Norte ,2nd,Imelda Marcos ,KBL ,2,Independent minority ,16,Imelda,Marcos
Ilocos Sur ,1st,Ronald Singson ,Nacionalista ,3,Majority ,16,Ronald,Singson
Ilocos Sur ,2nd,Eric Singson ,Liberal ,1,Majority ,16,Eric,Singson
Iloilo ,1st,Oscar Garin Jr. ,Liberal ,1,Majority ,16,Oscar,Garin
Iloilo ,2nd,Arcadio Gorriceta ,Liberal ,1,Majority ,16,Arcadio,Gorriceta
Iloilo ,3rd,Arthur Defensor Jr. ,Liberal ,2,Majority ,16,Arthur,Defensor
Iloilo ,4th,Hernan Biron Jr. ,UNA ,1,Majority ,16,Hernan,Biron
Iloilo ,5th,Niel Tupas Jr. ,Liberal ,3,Majority ,16,Niel,Tupas
Iloilo City ,Lone ,Jerry Treñas ,Liberal ,2,Majority ,16,Jerry,Treñas
Isabela ,1st,Rodolfo Albano III ,NPC ,1,Minority ,16,Rodolfo,Albano
Isabela ,2nd,Ana Cristina Go ,Nacionalista ,2,Minority ,16,Ana,Go
Isabela ,3rd,Napoleon Dy ,NPC ,2,Majority ,16,Napoleon,Dy
Isabela ,4th,Giorgidi Aggabao ,NPC ,3,Majority ,16,Giorgidi,Aggabao
Kalinga ,Lone ,Manuel Agyao ,Liberal ,3,Majority ,16,Manuel,Agyao
La Union ,1st,Victor Francisco Ortega ,Lakas ,3,Independent minority ,16,Victor,Ortega
La Union ,2nd,Eufranio Eriguel ,NPC ,2,Majority ,16,Eufranio,Eriguel
Laguna ,1st,Danilo Fernandez ,Liberal ,3,Majority ,16,Danilo,Fernandez
Laguna ,2nd,Jun Chipeco Jr. ,Liberal ,1,Majority ,16,Jun,Chipeco
Laguna ,3rd,Sol Aragones ,UNA ,1,Majority ,16,Sol,Aragones
Laguna ,4th,Benjie Agarao ,Liberal ,1,Majority ,16,Benjie,Agarao
Lanao del Norte ,1st,Imelda Dimaporo ,NPC ,2,Independent minority ,16,Imelda,Dimaporo
Lanao del Norte ,2nd,Abdullah Dimaporo ,NPC ,1,Independent minority ,16,Abdullah,Dimaporo
Lanao del Sur ,1st,Ansaruddin Alonto Adiong ,Liberal ,1,Majority ,16,Ansaruddin,Adiong
Lanao del Sur ,2nd,Pangalian Balindong ,Liberal ,3,Majority ,16,Pangalian,Balindong
Lapu-Lapu City ,Lone ,Aileen Radaza ,Lakas ,1,Majority ,16,Aileen,Radaza
Las Piñas ,Lone ,Mark Villar ,Nacionalista ,2,Majority ,16,Mark,Villar
Leyte ,1st,Martin Romualdez ,Lakas ,3,Independent minority ,16,Martin,Romualdez
Leyte ,2nd,Sergio Apostol ,Liberal ,2,Majority ,16,Sergio,Apostol
Leyte ,3rd,Andres Salvacion ,Liberal ,3,Majority ,16,Andres,Salvacion
Leyte ,4th,Lucy Torres-Gomez ,Liberal ,2,Majority ,16,Lucy,Torres-Gomez
Leyte ,5th,Jose Carlos Cari ,Liberal ,2,Majority ,16,Jose,Cari
Maguindanao ,1st,Bai Sandra Sema ,Liberal ,2,Majority ,16,Bai,Sema
Maguindanao ,2nd,Zajid Mangudadatu ,Liberal ,1,Majority ,16,Zajid,Mangudadatu
Makati ,1st,Monique Lagdameo ,UNA ,2,Majority ,16,Monique,Lagdameo
Makati ,2nd,Abby Binay ,UNA ,3,Majority ,16,Abby,Binay
Malabon ,Lone ,Josephine Lacson-Noel ,NPC ,3,Majority ,16,Josephine,Lacson-Noel
Mandaluyong ,Lone ,Neptali Gonzales II ,Liberal ,3,Majority ,16,Neptali,Gonzales
Manila ,1st,Benjamin Asilo ,Liberal ,3,Majority ,16,Benjamin,Asilo
Manila ,2nd,Carlo Lopez ,Liberal/KABAKA ,2,Majority ,16,Carlo,Lopez
Manila ,3rd,Zenaida Naida Angping ,NPC ,3,Majority ,16,Zenaida,Angping
Manila ,4th,Trisha Bonoan-David ,Liberal ,3,Majority ,16,Trisha,Bonoan-David
Manila ,5th,Amado Bagatsing ,NUP/KABAKA ,3,Majority ,16,Amado,Bagatsing
Manila ,6th,Sandy Ocampo ,Liberal/KABAKA ,2,Majority ,16,Sandy,Ocampo
Marikina ,1st,Marcelino Teodoro ,Liberal ,3,Majority ,16,Marcelino,Teodoro
Marikina ,2nd,Miro Quimbo ,Liberal ,2,Majority ,16,Miro,Quimbo
Marinduque ,Lone ,Regina Ongsiako Reyes4,Liberal ,1,Majority ,16,Regina,Reyes
Marinduque ,"",Lord Allan Jay Velasco4,NUP ,1,Majority ,16,Lord,Velasco
Masbate ,1st,Maria Vida Espinosa-Bravo ,NUP ,1,Majority ,16,Maria,Espinosa-Bravo
Masbate ,2nd,Elisa Olga Kho ,Lakas ,1,Majority ,16,Elisa,Kho
Masbate ,3rd,Scott Davies Lanete ,NPC ,2,Majority ,16,Scott,Lanete
Misamis Occidental ,1st,Jorge Almonte ,Liberal ,2,Majority ,16,Jorge,Almonte
Misamis Occidental ,2nd,Henry Oaminal ,Nacionalista ,1,Majority ,16,Henry,Oaminal
Misamis Oriental ,1st,Peter Unabia ,Liberal ,2,Majority ,16,Peter,Unabia
Misamis Oriental ,2nd,Juliette Uy ,NUP ,1,Independent minority ,16,Juliette,Uy
Mountain Province ,Lone ,Maximo Dalog ,Liberal ,2,Majority ,16,Maximo,Dalog
Muntinlupa ,Lone ,Rodolfo Biazon ,Liberal ,2,Majority ,16,Rodolfo,Biazon
Navotas ,Lone ,Toby Tiangco ,UNA/Navoteño ,2,Independent ,16,Toby,Tiangco
Negros Occidental ,1st,Jules Ledesma ,NPC ,3,Majority ,16,Jules,Ledesma
Negros Occidental ,2nd,Leo Rafael Cueva ,NUP ,1,Independent minority ,16,Leo,Cueva
Negros Occidental ,3rd,Alfredo Benitez ,Liberal ,2,Majority ,16,Alfredo,Benitez
Negros Occidental ,4th,Jeffrey Ferrer ,NUP/UNegA ,3,Majority ,16,Jeffrey,Ferrer
Negros Occidental ,5th,Alejandro Mirasol ,Liberal ,2,Majority ,16,Alejandro,Mirasol
Negros Occidental ,6th,Mercedes Alvarez ,NPC ,2,Majority ,16,Mercedes,Alvarez
Negros Oriental ,1st,Manuel Iway ,Liberal ,1,Majority ,16,Manuel,Iway
Negros Oriental ,2nd,George Arnaiz ,NPC ,3,Majority ,16,George,Arnaiz
Negros Oriental ,3rd,Pryde Henry Teves ,NPC ,3,Majority ,16,Pryde,Teves
Northern Samar ,1st,Harlin Abayon3,Nacionalista ,1,Majority ,16,Harlin,Abayon
Northern Samar ,"",Raul Daza3,Liberal ,2,Majority ,16,Raul,Daza
Northern Samar ,2nd,Emil Ong ,NUP ,3,Majority ,16,Emil,Ong
Nueva Ecija ,1st,Estrellita Suansing ,Unang Sigaw ,1,Majority ,16,Estrellita,Suansing
Nueva Ecija ,2nd,Joseph Gilbert Violago ,Liberal ,3,Majority ,16,Joseph,Violago
Nueva Ecija ,3rd,Czarina Umali ,Liberal ,3,Majority ,16,Czarina,Umali
Nueva Ecija ,4th,Magnolia Antonino-Nadres ,NUP ,1,Majority ,16,Magnolia,Antonino-Nadres
Nueva Vizcaya ,Lone ,Carlos M. Padilla ,Nacionalista ,3,Majority ,16,Carlos,Padilla
Occidental Mindoro ,Lone ,Josephine Sato ,Liberal ,1,Majority ,16,Josephine,Sato
Oriental Mindoro ,1st,Paulino Salvador Leachon ,Liberal ,1,Majority ,16,Paulino,Leachon
Oriental Mindoro ,2nd,Rey Umali ,Liberal ,2,Majority ,16,Rey,Umali
Palawan ,1st,Franz Joseph Alvarez ,NUP ,1,Majority ,16,Franz,Alvarez
Palawan ,2nd,Frederick Abueg ,NUP/PPP ,1,Majority ,16,Frederick,Abueg
Palawan ,3rd,Douglas Hagedorn ,NPC ,1,Majority ,16,Douglas,Hagedorn
Pampanga ,1st,Yeng Guiao ,NUP/Kambilan ,1,Majority ,16,Yeng,Guiao
Pampanga ,2nd,Gloria Macapagal-Arroyo ,Lakas ,2,Independent minority ,16,Gloria,Macapagal-Arroyo
Pampanga ,3rd,Oscar Samson Rodriguez ,Liberal ,1,Majority ,16,Oscar,Rodriguez
Pampanga ,4th,Juan Pablo Bondoc ,Nacionalista ,1,Majority ,16,Juan,Bondoc
Pangasinan ,1st,Jesus Celeste ,NPC ,2,Majority ,16,Jesus,Celeste
Pangasinan ,2nd,Leopoldo Bataoil ,NPC ,2,Majority ,16,Leopoldo,Bataoil
Pangasinan ,3rd,Rosemarie Arenas ,Liberal ,1,Majority ,16,Rosemarie,Arenas
Pangasinan ,4th,Gina de Venecia ,NPC ,2,Majority ,16,Gina,Venecia
Pangasinan ,5th,Kimi Cojuangco ,NPC ,2,Majority ,16,Kimi,Cojuangco
Pangasinan ,6th,Marlyn Primicias-Agabas ,NPC ,2,Majority ,16,Marlyn,Primicias-Agabas
Parañaque ,1st,Eric Olivarez ,Liberal ,1,Majority ,16,Eric,Olivarez
Parañaque ,2nd,Gus Tambunting ,UNA ,1,Majority ,16,Gus,Tambunting
Pasay ,Lone ,Imelda Rubiano ,Liberal ,2,Majority ,16,Imelda,Rubiano
Pasig ,Lone ,Roman Romulo ,Liberal ,3,Majority ,16,Roman,Romulo
Quezon ,1st,Wilfrido Mark Enverga ,NPC ,3,Majority ,16,Wilfrido,Enverga
Quezon ,2nd,Vicente Alcala ,Liberal ,1,Majority ,16,Vicente,Alcala
Quezon ,3rd,Aleta Suarez ,Lakas ,1,Independent minority ,16,Aleta,Suarez
Quezon ,4th,Angelina Tan ,NPC ,1,Majority ,16,Angelina,Tan
Quezon City ,1st,Francisco Boy Calalay ,Liberal ,1,Majority ,16,Francisco,Calalay
Quezon City ,2nd,Winston Castelo ,Liberal ,2,Majority ,16,Winston,Castelo
Quezon City ,3rd,Bolet Banal ,Liberal ,2,Majority ,16,Bolet,Banal
Quezon City ,4th,Feliciano Belmonte Jr. ,Liberal ,2,Majority ,16,Feliciano,Belmonte
Quezon City ,5th,Alfred Vargas ,Liberal ,1,Majority ,16,Alfred,Vargas
Quezon City ,6th,Kit Belmonte ,Liberal ,1,Majority ,16,Kit,Belmonte
Quirino ,Lone ,Dakila Cua ,Liberal ,2,Majority ,16,Dakila,Cua
Rizal ,1st,Joel Roy Duavit ,NPC ,2,Majority ,16,Joel,Duavit
Rizal ,2nd,Isidro Rodriguez Jr. ,NPC ,2,Majority ,16,Isidro,Rodriguez
Romblon ,Lone ,Eleandro Jesus Madrona ,Nacionalista ,3,Majority ,16,Eleandro,Madrona
Samar ,1st,Mel Senen Sarmiento5,Liberal ,2,Majority ,16,Mel,Sarmiento
Samar ,2nd,Milagros Tan ,NPC ,2,Majority ,16,Milagros,Tan
San Jose del Monte ,Lone ,Arthur Robes ,Liberal ,3,Majority ,16,Arthur,Robes
San Juan ,Lone ,Ronaldo Zamora ,UNA/Magdiwang ,1,Minority ,16,Ronaldo,Zamora
Sarangani ,Lone ,Manny Pacquiao ,UNA ,2,Majority ,16,Manny,Pacquiao
Siquijor ,Lone ,Marie Anne Pernes ,Liberal ,1,Majority ,16,Marie,Pernes
Sorsogon ,1st,Evelina Escudero ,NPC ,1,Majority ,16,Evelina,Escudero
Sorsogon ,2nd,Deogracias Ramos Jr. ,Liberal ,2,Majority ,16,Deogracias,Ramos
South Cotabato ,1st,Pedro Acharon Jr. ,Liberal/AIM ,2,Majority ,16,Pedro,Acharon
South Cotabato ,2nd,Ferdinand Hernandez ,NPC/AIM ,1,Majority ,16,Ferdinand,Hernandez
Southern Leyte ,Lone ,Damian Mercado ,NUP ,1,Majority ,16,Damian,Mercado
Sultan Kudarat ,1st,Raden Sakaluran ,Independent ,2,Majority ,16,Raden,Sakaluran
Sultan Kudarat ,2nd,Arnulfo Go ,NUP ,3,Majority ,16,Arnulfo,Go
Sulu ,1st,Tupay Loong ,NUP ,2,Majority ,16,Tupay,Loong
Sulu ,2nd,Maryam Arbison ,Liberal ,1,Majority ,16,Maryam,Arbison
Surigao del Norte ,1st,Francisco Matugas ,Liberal ,3,Majority ,16,Francisco,Matugas
Surigao del Norte ,2nd,Guillermo Romarate Jr. ,Liberal ,3,Majority ,16,Guillermo,Romarate
Surigao del Sur ,1st,Philip Pichay6,Lakas ,3,Independent minority ,16,Philip,Pichay
Surigao del Sur ,"",Mary Elizabeth Ty-Delgado6,Liberal ,1,Majority ,16,Mary,Ty-Delgado
Surigao del Sur ,2nd,Florencio Garay ,Liberal ,3,Majority ,16,Florencio,Garay
Taguig–Pateros ,1st,Arnel Cerafica ,Liberal ,2,Majority ,16,Arnel,Cerafica
Taguig ,2nd,Lino Cayetano ,PDP-Laban ,1,Minority ,16,Lino,Cayetano
Tarlac ,1st,Enrique Cojuangco7,NPC ,2,Majority ,16,Enrique,Cojuangco
Tarlac ,2nd,Susan Yap ,NPC ,2,Majority ,16,Susan,Yap
Tarlac ,3rd,Noel Jesus Villanueva ,Nacionalista ,1,Majority ,16,Noel,Villanueva
Tawi-Tawi ,Lone ,Ruby Sahali ,Liberal ,1,Majority ,16,Ruby,Sahali
Valenzuela ,1st,Sherwin Gatchalian ,NPC ,1,Majority ,16,Sherwin,Gatchalian
Valenzuela ,2nd,Magtanggol Gunigundo ,Lakas ,3,Majority ,16,Magtanggol,Gunigundo
Zambales ,1st,Jeffrey Khonghun ,NPC ,1,Majority ,16,Jeffrey,Khonghun
Zambales ,2nd,Cheryl Deloso-Montalla ,Liberal ,1,Majority ,16,Cheryl,Deloso-Montalla
Zamboanga City ,1st,Celso Lobregat ,LDP ,1,Majority ,16,Celso,Lobregat
Zamboanga City ,2nd,Lilia Macrohon-Nuño ,Nacionalista ,1,Majority ,16,Lilia,Macrohon-Nuño
Zamboanga del Norte ,1st,Seth Jalosjos ,Nacionalista ,2,Minority ,16,Seth,Jalosjos
Zamboanga del Norte ,2nd,Rosendo Labadlabad ,Liberal ,3,Majority ,16,Rosendo,Labadlabad
Zamboanga del Norte ,3rd,Isagani Amatong ,Liberal ,1,Majority ,16,Isagani,Amatong
Zamboanga del Sur ,1st,Victor Yu ,NUP ,3,Majority ,16,Victor,Yu
Zamboanga del Sur ,2nd,Aurora Cerilles ,NUP ,2,Majority ,16,Aurora,Cerilles
Zamboanga Sibugay ,1st,Belma Cabilao ,Nacionalista ,1,Majority ,16,Belma,Cabilao
Zamboanga Sibugay ,2nd,Dulce Ann Hofer ,Liberal ,1,Majority ,16,Dulce,Hofer
