Province,District,Name,Party,,Year,First,Last
Bulacan ,3rd,Ricardo C. Silverio ,Lakas-NUCD ,3,11,Ricardo,Silverio
Bulacan ,4th,Angelito M. Sarmiento ,LAMMP ,3,11,Angelito,Sarmiento
Cagayan ,1st,Juan C. Ponce Enrile Jr. ,independent ,1,11,Juan,Enrile
Cagayan ,2nd,Edgar R. Lara ,NPC/LAMMP ,3,11,Edgar,Lara
Cagayan ,3rd,Rodolfo E. Aguinaldo1,LAMMP ,1,11,Rodolfo,Aguinaldo
Cagayan de Oro City ,Lone ,Constantino G. Jaraula ,LAMMP ,1,11,Constantino,Jaraula
Caloocan City ,1st,Enrico R. Echieverri ,Lakas-NUCD ,1,11,Enrico,Echieverri
Caloocan City ,2nd,Luis A. Asistio ,NPC/LAMMP ,3,11,Luis,Asistio
Camarines Norte ,Lone ,Roy A. Padilla Jr. ,NPC/LAMMP ,1,11,Roy,Padilla
Camarines Sur ,1st,Rolando G. Andaya Jr. ,Lakas-NUCD ,1,11,Rolando,Andaya
Camarines Sur ,2nd,Jaime S. Jacob ,Aksyon ,1,11,Jaime,Jacob
Camarines Sur ,3rd,Arnulfo P. Fuentebella ,NPC/LAMMP ,2,11,Arnulfo,Fuentebella
Camarines Sur ,4th,Salvio B. Fortuno ,LAMMP ,1,11,Salvio,Fortuno
Camiguin ,Lone ,Jurdin Jesus M. Romualdo ,LAMMP ,1,11,Jurdin,Romualdo
Capiz ,1st,Manuel A. Roxas II4,Liberal ,2,11,Manuel,II
Capiz ,2nd,Vicente J. Andaya Jr. ,LAMMP ,2,11,Vicente,Andaya
Catanduanes ,Lone ,Leandro B. Verceles Jr. ,NPC ,3,11,Leandro,Verceles
Cavite ,1st,Plaridel M. Abaya ,NPC/LAMMP ,2,11,Plaridel,Abaya
Cavite ,2nd,Erineo Ayong Maliksi ,LDP/LAMMP/MAGDALO ,1,11,Erineo,Maliksi
Cavite ,3rd,Napoleon R. Beratio ,LDP/LAMMP ,1,11,Napoleon,Beratio
Cebu ,1st,Eduardo R. Gullas ,LAMMP ,3,11,Eduardo,Gullas
Cebu ,2nd,Simeon L. Kintanar ,NPC/Alayon LAMMP ,1,11,Simeon,Kintanar
Cebu ,3rd,Antonio P. Yapha ,NPC/Alayon/LAMMP ,1,11,Antonio,Yapha
Cebu ,4th,Clavel A. Martinez ,Lakas-NUCD ,1,11,Clavel,Martinez
Cebu ,5th,Joseph H. Durano ,NPC/Alayon/LAMMP ,1,11,Joseph,Durano
Cebu ,6th,Efren T. Herrera ,LAMMP ,1,11,Efren,Herrera
Cebu City ,1st,Raoul B. Del Mar ,LDP/LAMMP ,1,11,Raoul,Mar
Cebu City ,2nd,Nancy R. Cuenco ,LDP/LAMMP ,1,11,Nancy,Cuenco
Compostela Valley ,1st,Rogelio M. Sarmiento ,LAMMP ,3,11,Rogelio,Sarmiento
Compostela Valley ,2nd,Prospero S. Amatong ,Lakas-NUCD ,1,11,Prospero,Amatong
Cotabato (North) ,1st,Anthony P. Dequiña ,LAMMP ,3,11,Anthony,Dequiña
Cotabato (North) ,2nd,Gregorio T. Ipong ,LAMMP ,1,11,Gregorio,Ipong
Davao City ,1st,Rodrigo R. Duterte ,LAMMP/PDP-LABAN ,1,11,Rodrigo,Duterte
Davao City ,2nd,Manuel M. Garcia ,Lakas-NUCD ,3,11,Manuel,Garcia
Davao City ,3rd,Ruy Elias C. Lopez ,NPC/LAMMP ,1,11,Ruy,Lopez
Davao del Norte ,1st,Pantaleon D. Alvarez ,PMP/LAMMP ,1,11,Pantaleon,Alvarez
Davao del Norte ,2nd,Antonio R. Floirendo Jr. ,LAMMP ,1,11,Antonio,Floirendo
Davao del Sur ,1st,Douglas Ra. Cagas ,LAMMP ,1,11,Douglas,Cagas
Davao del Sur ,2nd,Franklin P. Bautista ,Lakas-NUCD ,1,11,Franklin,Bautista
Davao Oriental ,1st,Ma. Elena T. Palma-Gil ,Lakas-NUCD ,3,11,Elena,Palma-Gil
Davao Oriental ,2nd,Joel Mayo Z. Almario ,Lakas-NUCD ,1,11,Joel,Almario
Eastern Samar ,Lone ,Marcelino C. Libanan ,LAMMP ,1,11,Marcelino,Libanan
Guimaras ,Lone ,Emily R. Lopez ,LAMMP ,1,11,Emily,Lopez
Ifugao ,Lone ,Benjamin B. Cappleman ,LDP/LAMMP ,3,11,Benjamin,Cappleman
Ilocos Norte ,1st,Rodolfo C. Fariñas ,LAMMP ,1,11,Rodolfo,Fariñas
Ilocos Norte ,2nd,Maria Imelda Imee R. Marcos,KBL/LAMMP ,1,11,Maria,Marcos
Ilocos Sur ,1st,Salacnib F. Baterina ,LAMMP ,1,11,Salacnib,Baterina
Ilocos Sur ,2nd,Grace G. Singson ,LDP/LAMMP ,1,11,Grace,Singson
Iloilo ,1st,Ninfa S. Garin ,LAMMP ,1,11,Ninfa,Garin
Iloilo ,2nd,Augusto L. Syjuco Jr. ,LAMMP ,1,11,Augusto,Syjuco
Iloilo ,3rd,Manuel P. Parcon ,Lakas-NUCD ,1,11,Manuel,Parcon
Iloilo ,4th,Narciso D. Monfort ,Lakas-NUCD ,2,11,Narciso,Monfort
Iloilo ,5th,Rolex T. Suplico ,LDP/LAMMP ,1,11,Rolex,Suplico
Iloilo City ,Lone ,Raul M. Gonzales ,Nacionalista/Lakas-NUCD ,2,11,Raul,Gonzales
Isabela ,1st,Rodolfo T. Albano III ,NPC/LAMMP ,1,11,Rodolfo,Albano
Isabela ,2nd,Faustino S. Dy Jr. ,NPC/LAMMP ,3,11,Faustino,Dy
Isabela ,3rd,Ramon M. Reyes ,LAMMP ,1,11,Ramon,Reyes
Isabela ,4th,Heherson T. Alvarez5,Lakas-NUCD ,1,11,Heherson,Alvarez
Kalinga ,Lone ,Lawrence B. Wacnang ,LDP ,1,11,Lawrence,Wacnang
La Union ,1st,Manuel C. Ortega ,NPC/LAMMP ,1,11,Manuel,Ortega
La Union ,2nd,Tomas M. Dumpit ,NPC/LAMMP ,1,11,Tomas,Dumpit
Laguna ,1st,Uliran T. Joaquin ,LAMMP ,1,11,Uliran,Joaquin
Laguna ,2nd,Joaquin M. Chipeco Jr. ,LDP/LAMMP ,2,11,Joaquin,Chipeco
Laguna ,3rd,Danton Q. Bueser ,Liberal ,1,11,Danton,Bueser
Laguna ,4th,Rodolfo S. San Luis ,LDP/LAMMP ,1,11,Rodolfo,Luis
Lanao del Norte ,1st,Alipio Cirilo V. Badelles ,LAMMP ,1,11,Alipio,Badelles
Lanao del Norte ,2nd,Macabangkit Lanto ,Lakas-NUCD ,1,11,Macabangkit,Lanto
Lanao del Sur ,1st,Mamintal M. Adiong ,LAMMP ,3,11,Mamintal,Adiong
Lanao del Sur ,2nd,Benasing O. Macarambon Jr. ,NPC ,1,11,Benasing,Macarambon
Las Piñas City ,Lone ,Manuel B. Villar Jr. ,LAMMP ,3,11,Manuel,Villar
Leyte ,1st,Alfred S. Romualdez ,NPC/LAMMP ,1,11,Alfred,Romualdez
Leyte ,2nd,Sergio Antonio F. Apostol ,Lakas-NUCD ,3,11,Sergio,Apostol
Leyte ,3rd,Eduardo K. Veloso ,NPC ,1,11,Eduardo,Veloso
Leyte ,4th,Ma. Victoria L. Locsin ,LAMMP ,1,11,Victoria,Locsin
Leyte ,5th,Ma. Catalina L. Loreto-Go ,LAMMP ,1,11,Catalina,Loreto-Go
Maguindanao ,1st,Didagen P. Dilangalen ,LAMMP ,2,11,Didagen,Dilangalen
Maguindanao ,2nd,Simeon A. Datumanong ,Lakas-NUCD ,3,11,Simeon,Datumanong
Makati City ,1st,Joker P. Arroyo ,independent ,3,11,Joker,Arroyo
 ,2nd,Agapito A. Aquino ,LDP/LAMMP ,1,11,Agapito,Aquino
Malabon–Navotas ,Lone ,Federico S. Sandoval II ,Lakas-NUCD ,1,11,Federico,Sandoval
Mandaluyong ,Lone ,Neptali M. Gonzales II ,LDP/LAMMP ,2,11,Neptali,Gonzales
Manila ,1st,Ernesto A. Nieva ,LAMMP ,1,11,Ernesto,Nieva
Manila ,2nd,Nestor C. Ponce Jr. ,Liberal ,1,11,Nestor,Ponce
Manila ,3rd,Harry C. Angping ,LAMMP ,1,11,Harry,Angping
Manila ,4th,Rodolfo C. Bacani ,Liberal ,1,11,Rodolfo,Bacani
Manila ,5th,Joey D. Hizon ,Liberal ,1,11,Joey,Hizon
Manila ,6th,Rosenda Ann H. Ocampo ,NPC/LAMMP ,3,11,Rosenda,Ocampo
Marikina ,Lone ,Romeo D. Candazo ,Liberal ,3,11,Romeo,Candazo
Marinduque ,Lone ,Edmundo O. Reyes Jr. ,LAMMP ,1,11,Edmundo,Reyes
Masbate ,1st,Vida V. Espinosa ,LAMMP ,2,11,Vida,Espinosa
Masbate ,2nd,Emilio R. Espinosa Jr. ,NPC/LAMMP ,1,11,Emilio,Espinosa
Masbate ,3rd,Fausto L. Seachon Jr. ,NPC/LAMMP ,2,11,Fausto,Seachon
Misamis Occidental ,1st,Percival B. Catane ,Lakas-NUCD ,3,11,Percival,Catane
Misamis Occidental ,2nd,Hilarion J. Ramiro Jr. ,independent ,1,11,Hilarion,Ramiro
Misamis Oriental ,1st,Oscar S. Moreno ,Lakas-NUCD ,1,11,Oscar,Moreno
Misamis Oriental ,2nd,Augusto H. Baculio ,LDPLAMMP ,1,11,Augusto,Baculio
Mountain Province ,Lone ,Josephine C. Dominguez ,LDP/LAMMP ,1,11,Josephine,Dominguez
Muntinlupa City ,Lone ,Ignacio R. Bunye ,Lakas-NUCD ,1,11,Ignacio,Bunye
Negros Occidental ,1st,Julio A. Ledesma IV ,NPC/UNA/LAMMP ,2,11,Julio,Ledesma
Negros Occidental ,2nd,Alfredo G. Marañon ,NPC/UNA/LAMMP ,2,11,Alfredo,Marañon
Negros Occidental ,3rd,Edith A. Yotoko-Villanueva ,LDP ,1,11,Edith,Yotoko-Villanueva
Negros Occidental ,4th,Carlos O. Cojuangco ,NPC/LAMMP ,1,11,Carlos,Cojuangco
Negros Occidental ,5th,Jose Apolinario Lozada Jr. ,Lakas-NUCD ,1,11,Jose,Lozada
Negros Occidental ,6th,Genaro M. Alvarez Jr. ,NPC UNA/LAMMP ,2,11,Genaro,Alvarez
Negros Oriental ,1st,Jacinto V. Paras ,LDP/LAMMP ,1,11,Jacinto,Paras
Negros Oriental ,2nd,Emilio C. Macias II ,NPC/LAMMP ,1,11,Emilio,Macias
Negros Oriental ,3rd,Herminio G. Teves ,Lakas-NUCD ,1,11,Herminio,Teves
Northern Samar ,1st,Harlin Cast. Abayon I ,Liberal ,1,11,Harlin,Abayon
Northern Samar ,2nd,Romualdo T. Vicencio ,Liberal ,1,11,Romualdo,Vicencio
Nueva Ecija ,1st,Josefina M. Joson ,NPC/BALANE/LAMMP ,1,11,Josefina,Joson
Nueva Ecija ,2nd,Simeon E. Garcia Jr. ,LAMMP ,1,11,Simeon,Garcia
Nueva Ecija ,3rd,Pacifico M. Fajardo ,Lakas-NUCD ,3,11,Pacifico,Fajardo
Nueva Ecija ,4th,Julita Lorenzo-Villareal ,LAMMP ,2,11,Julita,Lorenzo-Villareal
Nueva Vizcaya ,Lone ,Carlos M. Padilla ,LDP/LAMMP ,2,11,Carlos,Padilla
Occidental Mindoro ,Lone ,Ricardo V. Quintos ,LDP ,1,11,Ricardo,Quintos
Oriental Mindoro ,1st,J. Renato V. Leviste ,Lakas-NUCD ,3,11,J.,Leviste
Oriental Mindoro ,2nd,Manuel G. Andaya ,LAMMP ,1,11,Manuel,Andaya
Palawan ,1st,Vicente A. Sandoval ,LDP ,2,11,Vicente,Sandoval
Palawan ,2nd,Alfredo Amor E. Abueg Jr. ,LAMMP ,3,11,Alfredo,Abueg
Pampanga ,1st,Francis L. Nepomuceno ,NPC/LAMMP ,1,11,Francis,Nepomuceno
Pampanga ,2nd,Zenaida C. Cruz-Ducut ,NPC/LAMMP ,2,11,Zenaida,Cruz-Ducut
Pampanga ,3rd,Oscar S. Rodriguez ,NPC/LAMMP ,2,11,Oscar,Rodriguez
Pampanga ,4th,Juan Pablo P. Bondoc ,NPC/LAMMP ,1,11,Juan,Bondoc
Pangasinan ,1st,Hernani A. Braganza ,Lakas-NUCD ,2,11,Hernani,Braganza
Pangasinan ,2nd,Teodoro C. Cruz ,LAMMP ,1,11,Teodoro,Cruz
Pangasinan ,3rd,Generoso D.C. Tulagan ,NPC ,1,11,Generoso,Tulagan
Pangasinan ,4th,Benjamin S. Lim ,Lakas-NUCD ,1,11,Benjamin,Lim
Pangasinan ,5th,Amadeo R. Perez Jr. ,LAMMP ,3,11,Amadeo,Perez
Pangasinan ,6th,Ranjit R. Shahani ,LDP ,2,11,Ranjit,Shahani
Parañaque ,Lone ,Roilo J. Golez6,LAMMP ,2,11,Roilo,Golez
Pasay City ,Lone ,Rolando A. Briones ,LAMMP ,1,11,Rolando,Briones
Pasig ,Lone ,Henry P. Lanot ,LDP ,1,11,Henry,Lanot
Pateros–Taguig ,Lone ,Alan Peter S. Cayetano ,LAMMP ,1,11,Alan,Cayetano
Quezon ,1st,Rafael P. Nantes ,LAMMP ,1,11,Rafael,Nantes
Quezon ,2nd,Marcial C. Punzalan Jr.2,LAMMP ,3,11,Marcial,Jr.
Quezon ,3rd,Danilo E. Suarez ,LAMMP ,3,11,Danilo,Suarez
Quezon ,4th,Wigberto E. Tañada ,Liberal ,2,11,Wigberto,Tañada
Quezon City ,1st,Reynaldo A. Calalay ,LAMMP ,2,11,Reynaldo,Calalay
Quezon City ,2nd,Dante V. Liban ,LAMMP ,3,11,Dante,Liban
Quezon City ,3rd,Michael I. Defensor ,Liberal ,2,11,Michael,Defensor
Quezon City ,4th,Feliciano R. Belmonte Jr. ,Lakas-NUCD ,3,11,Feliciano,Belmonte
Quirino ,Lone ,Ma. Angela E. Cua ,LAMMP ,1,11,Angela,Cua
Rizal ,1st,Gilberto M. Duavit ,NPC/LAMMP ,3,11,Gilberto,Duavit
Rizal ,2nd,Isidro S. Rodriguez Jr. ,NPC ,1,11,Isidro,Rodriguez
Romblon ,Lone ,Eleandro Jesus F. Madrona ,LAMMP ,3,11,Eleandro,Madrona
Samar (Western) ,1st,Rodolfo T. Tuazon ,LAMMP ,3,11,Rodolfo,Tuazon
Samar (Western) ,2nd,Antonio Eduardo B. Nachura ,Liberal ,1,11,Antonio,Nachura
San Juan ,Lone ,Jose Mari C. Gonzalez ,LAMMP ,1,11,Jose,Gonzalez
Sarangani ,Lone ,Juan Domino ,independent ,1,11,Juan,Domino
Siquijor ,Lone ,Orlando A. Fua Jr. ,Lakas-NUCD ,1,11,Orlando,Fua
Sorsogon ,1st,Francis Joseph G. Escudero ,NPC/LAMMP ,1,11,Francis,Escudero
Sorsogon ,2nd,Rodolfo F. Gonzales ,LAMMP ,1,11,Rodolfo,Gonzales
South Cotabato ,1st,Luwalhati R. Antonino ,LAMMP ,3,11,Luwalhati,Antonino
South Cotabato ,2nd,Daisy P. Avance-Fuentes ,NPC/LAMMP ,3,11,Daisy,Avance-Fuentes
Southern Leyte ,Lone ,Roger G. Mercado ,Lakas-NUCD ,2,11,Roger,Mercado
Sultan Kudarat ,Lone ,Angelo O. Montilla ,NPC/LAMMP ,2,11,Angelo,Montilla
Sulu ,1st,Hussin U. Amin ,LAMMP ,1,11,Hussin,Amin
Sulu ,2nd,Asani S. Tammang ,LAMMP ,3,11,Asani,Tammang
Surigao del Norte ,1st,Constantino H. Navarro Jr. ,LAMMP ,2,11,Constantino,Navarro
Surigao del Norte ,2nd,Robert Ace Barbers ,Lakas-NUCD ,1,11,Robert,Barbers
Surigao del Sur ,1st,Prospero A. Pichay Jr. ,Lakas-NUCD ,1,11,Prospero,Pichay
Surigao del Sur ,2nd,Jesnar R. Falcon ,LAMMP ,2,11,Jesnar,Falcon
Tarlac ,1st,Gilbert C. Teodoro Jr. ,NPC/LAMMP ,1,11,Gilbert,Teodoro
Tarlac ,2nd,Benigno S. Aquino III ,Liberal ,1,11,Benigno,Aquino
Tarlac ,3rd,Jesli A. Lapus ,LAMMP ,1,11,Jesli,Lapus
Tawi-Tawi ,Lone ,Nur G. Jaafar ,LAMMP ,3,11,Nur,Jaafar
Valenzuela ,Lone ,Magtanggol T. Gunigundo ,Lakas-NUCD ,1,11,Magtanggol,Gunigundo
Zambales ,1st,James J. Gordon Jr. ,Lakas-NUCD ,2,11,James,Gordon
Zambales ,2nd,Antonio M. Diaz ,LAMMP ,3,11,Antonio,Diaz
Zamboanga City ,Lone ,Celso L. Lobregat ,LDP ,1,11,Celso,Lobregat
Zamboanga del Norte ,1st,Romeo G. Jalosjos ,NPC ,1,11,Romeo,Jalosjos
Zamboanga del Norte ,2nd,Roseller L. Barinaga ,LAMMP ,1,11,Roseller,Barinaga
Zamboanga del Norte ,3rd,Angeles R. Carloto II ,Lakas-NUCD ,3,11,Angeles,Carloto
Zamboanga del Sur ,1st,Alejandro S. Urro ,LDP ,3,11,Alejandro,Urro
Zamboanga del Sur ,2nd,Aurora E. Cerilles ,LAMMP ,1,11,Aurora,Cerilles
Zamboanga del Sur ,3rd,George T. Hofer ,LAMMP ,1,11,George,Hofer
