Province,District,Name,Party,,Year,First,Last
Abra ,Lone ,Vicente Ysidro P. Valera ,LDP ,1,11,Vicente,Valera
Agusan del Norte ,1st,Leovigildo B. Banaag ,LDP/LAMMP ,1,11,Leovigildo,Banaag
Agusan del Norte ,2nd,Roan I. Libarios ,LAMMP ,1,11,Roan,Libarios
Agusan del Sur ,Lone ,Alex G. Bascug ,LAMMP ,1,11,Alex,Bascug
Aklan ,Lone ,Allen S. Quimpo ,LAMMP ,3,11,Allen,Quimpo
Albay ,1st,Kristel B. Lagman-Luistro ,LDP/LAMMP ,1,11,Kristel,Lagman-Luistro
Albay ,2nd,Norma B. Imperial ,LAMMP ,1,11,Norma,Imperial
Albay ,3rd,Joey S. Salceda ,LAMMP ,1,11,Joey,Salceda
Antipolo City ,Lone ,Victor R. Sumulong ,NPC ,1,11,Victor,Sumulong
Antique ,Lone ,Jovito Plameras Jr. ,LAMMP ,1,11,Jovito,Plameras
Aurora ,Lone ,Bellaflor Angara-Castillo ,LDP/LAMMP ,2,11,Bellaflor,Angara-Castillo
Apayao ,Lone ,Elias K. Bulut ,LDP/LAMMP ,1,11,Elias,Bulut
Bacolod City ,Lone ,Juan N. Orola Jr. ,LAMMP ,1,11,Juan,Orola
Baguio City ,Lone ,Bernardo M. Vergara ,Lakas-NUCD ,3,11,Bernardo,Vergara
Basilan ,Lone ,Abdulgani A. Salapuddin ,LAMMP ,1,11,Abdulgani,Salapuddin
Bataan ,1st,Antonio P. Roman ,LAMMP ,1,11,Antonio,Roman
Bataan ,2nd,Enrique T. Garcia Jr. ,LDP ,2,11,Enrique,Garcia
Batanes ,Lone ,Florencio B. Abad ,Liberal ,2,11,Florencio,Abad
Batangas ,1st,Eduardo R. Ermita:3,Lakas-NUCD ,3,11,Eduardo,Ermita:
Batangas ,2nd,Edgar L. Mendoza ,LAMMP ,1,11,Edgar,Mendoza
Batangas ,3rd,Jose Macario Laurel IV ,Nacionalista ,1,11,Jose,Laurel
Batangas ,4th,Ralph G. Recto ,LDP/LAMMP ,3,11,Ralph,Recto
Benguet ,Lone ,Ronald M. Cosalan ,LAMMP ,2,11,Ronald,Cosalan
Biliran ,Lone ,Gerardo S. Espina ,Lakas-NUCD ,2,11,Gerardo,Espina
Bohol ,1st,Ernesto F. Herrera ,LAMMP ,1,11,Ernesto,Herrera
Bohol ,2nd,Erico B. Aumentado ,LAMMP ,3,11,Erico,Aumentado
Bohol ,3rd,Eladio M. Jala ,LDP/LAMMP ,1,11,Eladio,Jala
Bukidnon ,1st,Juan Romeo Nereus O. Acosta ,Liberal ,1,11,Juan,Acosta
Bukidnon ,2nd,Reginaldo N. Tilanduca ,NPC ,3,11,Reginaldo,Tilanduca
Bukidnon ,3rd,Juan Miguel F. Zubiri ,NPC ,3,11,Juan,Zubiri
Bulacan ,1st,Wilhelmino M. Sy-Alvarado ,LAMMP ,1,11,Wilhelmino,Sy-Alvarado
Bulacan ,2nd,Pedro M. Pancho ,Lakas-NUCD ,3,11,Pedro,Pancho
