Province,District,Name,Party,,,,,Year,First,Last
Cebu ,3rd,"Antonio P. Yapha, Jr. ",NPC/Alayon ,3,1998,Majority ,,13,Antonio,Yapha
Cebu ,4th,Clavel A. Martinez ,Lakas-CMD ,3,1998,Majority ,,13,Clavel,Martinez
Cebu ,5th,Joseph H. Durano[n 5],Lakas-CMD/NPC ,3,1998,Majority ,,13,Joseph,""
Cebu ,"",Ramon Red H. Durano VI[n 6] ,NPC ,0,2005,Majority ,,13,Ramon,""
Cebu ,6th,Nerissa Corazon Soon-Ruiz ,KAMPI ,2,2001,Majority ,,13,Nerissa,Soon-Ruiz
Cebu City ,1st,Raul V. Del Mar ,Lakas-CMD ,3,1998,Majority ,,13,Raul,Mar
Cebu City ,2nd,Antonio V. Cuenco ,Lakas-CMD/PROMDI ,2,2001,Majority ,,13,Antonio,Cuenco
Compostela Valley ,1st,Manuel Way Kurat E. Zamora ,Lakas-CMD ,2,2001,Majority ,,13,Manuel,Zamora
Compostela Valley ,2nd,Prospero S. Amatong ,Lakas-CMD ,3,1998,Majority ,,13,Prospero,Amatong
Cotabato (North) ,1st,Emmylou J. Taliño-Santos ,Nacionalista ,2,2001,Majority ,,13,Emmylou,Taliño-Santos
Cotabato (North) ,2nd,Gregorio T. Ipong ,NPC ,3,1998,Majority ,,13,Gregorio,Ipong
Davao City ,1st,Prospero C. Nograles ,Lakas-CMD ,2,2001,Majority ,,13,Prospero,Nograles
Davao City ,2nd,Vincent J. Garcia ,NPC ,2,2001,Majority ,,13,Vincent,Garcia
Davao City ,3rd,Ruy Elias C. Lopez ,NPC ,3,1998,Minority ,,13,Ruy,Lopez
Davao del Norte ,1st,Arrel R. Olaño ,Lakas-CMD ,2,2001,Majority ,,13,Arrel,Olaño
Davao del Norte ,2nd,"Antonio R. Floirendo, Jr. ",Lakas-CMD ,3,1998,Majority ,,13,Antonio,Floirendo
Davao del Sur ,1st,Douglas R.A. Cagas ,NPC ,3,1998,Majority ,,13,Douglas,Cagas
Davao del Sur ,2nd,Claude P. Bautista ,NPC ,2,2001,Majority ,,13,Claude,Bautista
Davao Oriental ,1st,Corazon N. Malanyaon ,KAMPI ,2,2001,Majority ,,13,Corazon,Malanyaon
Davao Oriental ,2nd,Mayo Z. Almario ,Lakas-CMD ,3,1998,Majority ,,13,Mayo,Almario
Eastern Samar ,Lone ,Marcelino C. Libanan[n 7],Lakas-CMD ,3,1998,Majority ,,13,Marcelino,""
Guimaras ,Lone ,Edgar T. Espinosa ,Lakas-CMD ,2,2001,Majority ,,13,Edgar,Espinosa
Ifugao ,Lone ,Solomon R. Chungalao ,Liberal ,2,2001,Majority ,,13,Solomon,Chungalao
Ilocos Norte ,1st,"Roque R. Ablan, Jr. ",Lakas-CMD/KBL ,2,2001,Majority ,,13,Roque,Ablan
Ilocos Norte ,2nd,Imee R. Marcos ,KBL ,3,1998,Minority ,,13,Imee,Marcos
Ilocos Sur ,1st,Salacnib F. Baterina ,Lakas-CMD ,3,1998,Majority ,,13,Salacnib,Baterina
Ilocos Sur ,2nd,Eric D. Singson ,Liberal ,2,2001,Majority ,,13,Eric,Singson
