Province,District,Name,Party,,Year,First,Last
Abra ,Lone ,Cecilia S. Seares-Luna ,Lakas-Kampi-CMD ,1,14,Cecilia,Seares-Luna
Agusan del Norte ,1st ,Jose S. Aquino II ,Lakas-Kampi-CMD ,1,14,Jose,Aquino
Agusan del Norte ,2nd ,Edelmiro A. Amante ,Lakas-Kampi-CMD ,1,14,Edelmiro,Amante
Agusan del Sur ,Lone ,Rodolfo G. Plaza ,NPC ,3,14,Rodolfo,Plaza
Aklan ,Lone ,Florencio T. Miraflores ,Lakas-Kampi-CMD ,2,14,Florencio,Miraflores
Albay ,1st ,Edcel C. Lagman ,Lakas-Kampi-CMD ,2,14,Edcel,Lagman
Albay ,2nd ,Al Francis C. Bichara ,Nacionalista ,1,14,Al,Bichara
Albay ,3rd ,Reno G. Lim ,NPC ,1,14,Reno,Lim
Antipolo City ,1st ,Roberto V. Puno ,Lakas-Kampi-CMD ,1,14,Roberto,Puno
Antipolo City ,2nd ,Angelito C. Gatlabayan ,Lakas-Kampi-CMD ,1,14,Angelito,Gatlabayan
Antique ,Lone ,Exequiel B. Javier ,Lakas-Kampi-CMD ,3,14,Exequiel,Javier
Apayao ,Lone ,"Elias C. Bulut, Jr. ",NPC ,3,14,Elias,Bulut
Aurora ,Lone ,Juan Edgardo M. Angara ,LDP ,2,14,Juan,Angara
Bacolod City ,Lone ,Monico O. Puentevella ,Lakas-Kampi-CMD ,3,14,Monico,Puentevella
Baguio City ,Lone ,Mauricio G. Domogan ,Lakas-Kampi-CMD ,3,14,Mauricio,Domogan
Basilan ,Lone ,Vacant[17] , ,,14,Vacant,Vacant
Bataan ,1st ,Herminia B. Roman ,Lakas-Kampi-CMD ,1,14,Herminia,Roman
Bataan ,2nd ,Albert S. Garcia ,Lakas-Kampi-CMD ,2,14,Albert,Garcia
Batanes ,Lone ,Carlo Oliver D. Diasnes ,Lakas-Kampi-CMD ,1,14,Carlo,Diasnes
Batangas ,1st ,Eileen Ermita-Buhain ,Lakas-Kampi-CMD ,3,14,Eileen,Ermita-Buhain
Batangas ,2nd ,Hermilando I. Mandanas ,Liberal ,2,14,Hermilando,Mandanas
Batangas ,3rd ,Victoria H. Reyes ,Lakas-Kampi-CMD ,3,14,Victoria,Reyes
Batangas ,4th ,Mark L. Mendoza ,NPC ,1,14,Mark,Mendoza
Benguet ,Lone ,Samuel M. Dangwa ,Lakas-Kampi-CMD ,3,14,Samuel,Dangwa
Biliran ,Lone ,Glenn A. Chong ,Lakas-Kampi-CMD ,1,14,Glenn,Chong
Bohol ,1st ,Edgardo M. Chatto ,Lakas-Kampi-CMD ,3,14,Edgardo,Chatto
Bohol ,2nd ,Roberto C. Cajes ,Lakas-Kampi-CMD ,3,14,Roberto,Cajes
Bohol ,3rd ,Adam Relson L. Jala ,Lakas-Kampi-CMD ,1,14,Adam,Jala
Bukidnon ,1st ,"Candido P. Pancrudo, Jr. ",Lakas-Kampi-CMD ,1,14,Candido,Pancrudo
Bukidnon ,2nd ,Teofisto L. Guingona III ,Liberal ,2,14,Teofisto,Guingona
Bukidnon ,3rd ,Jose Ma. F. Zubiri III ,Lakas-Kampi-CMD ,1,14,Jose,Zubiri
Bulacan ,1st ,Ma. Victoria Sy-Alvarado ,Lakas-Kampi-CMD ,1,14,Victoria,Sy-Alvarado
Bulacan ,2nd ,Pedro M. Pancho ,Lakas-Kampi-CMD ,2,14,Pedro,Pancho
Bulacan ,3rd ,Lorna C. Silverio ,Lakas-Kampi-CMD ,3,14,Lorna,Silverio
Bulacan ,4th ,Reylina G. Nicolas ,Lakas-Kampi-CMD ,3,14,Reylina,Nicolas
Cagayan ,1st ,Sally S. Ponce Enrile ,NPC ,1,14,Sally,Enrile
Cagayan ,2nd ,Florencio L. Vargas ,Lakas-Kampi-CMD ,2,14,Florencio,Vargas
Cagayan ,3rd ,Manuel N. Mamba ,Liberal ,3,14,Manuel,Mamba
Cagayan de Oro City ,1st ,Rolando A. Uy ,Nacionalista ,1,14,Rolando,Uy
Cagayan de Oro City ,2nd ,Rufus B. Rodriguez ,PMP ,1,14,Rufus,Rodriguez
Caloocan City ,1st ,Oscar G. Malapitan ,Nacionalista ,2,14,Oscar,Malapitan
Caloocan City ,2nd ,Mary Mitzi L. Cajayon ,Lakas-Kampi-CMD ,1,14,Mary,Cajayon
Camarines Norte ,Lone ,Liwayway Vinzons-Chato ,Liberal ,1,14,Liwayway,Vinzons-Chato
Camarines Sur ,1st ,Diosdado M. Arroyo ,Lakas-Kampi-CMD ,1,14,Diosdado,Arroyo
Camarines Sur ,2nd ,"Luis R. Villafuerte, Sr. ",NPC ,2,14,Luis,Villafuerte
Camarines Sur ,3rd ,Arnulfo P. Fuentebella ,NPC ,2,14,Arnulfo,Fuentebella
Camarines Sur ,4th ,"Felix R. Alfelor, Jr. ",Lakas-Kampi-CMD ,3,14,Felix,Alfelor
Camiguin ,Lone ,Pedro P. Romualdo ,Lakas-Kampi-CMD ,1,14,Pedro,Romualdo
Capiz ,1st ,Antonio A. Del Rosario ,Liberal ,1,14,Antonio,Rosario
Capiz ,2nd ,Fredenil H. Castro ,Lakas-Kampi-CMD ,3,14,Fredenil,Castro
Catanduanes ,Lone ,Joseph A. Santiago ,NPC ,3,14,Joseph,Santiago
Cavite ,1st ,Joseph Emilio A. Abaya ,Liberal ,2,14,Joseph,Abaya
Cavite ,2nd ,"Elpidio F. Barzaga, Jr. ",Lakas-Kampi-CMD ,1,14,Elpidio,Barzaga
Cavite ,3rd ,Jesus Crispin C. Remulla ,Nacionalista ,2,14,Jesus,Remulla
