Province,District,Name,Party,,,,Year,First,Last
Cavite ,4th ,Jennifer Barzaga ,NUP ,1,Majority ,,17,Jennifer,Barzaga
Cavite ,5th ,Roy Loyola ,NPC ,3,Majority ,,17,Roy,Loyola
Cavite ,6th ,Luis Ferrer IV ,NUP ,2,Majority ,,17,Luis,Ferrer
Cavite ,7th ,Abraham Tolentino[12] ,PDP-Laban ,2,Majority ,,17,Abraham,Tolentino
Cebu ,1st ,Gerald Anthony Gullas Jr. ,Independent ,2,Minority ,,17,Gerald,Gullas
Cebu ,2nd ,Wilfredo Caminero ,NUP ,2,Majority ,,17,Wilfredo,Caminero
Cebu ,3rd ,Gwendolyn Garcia ,PDP-Laban/1-Cebu ,2,Majority ,,17,Gwendolyn,Garcia
Cebu ,4th ,Benhur Salimbangon ,NUP/1-Cebu ,3,Majority ,,17,Benhur,Salimbangon
Cebu ,5th ,Ramon Durano VI ,NPC ,1,Majority ,,17,Ramon,VI
Cebu ,6th ,Jonas Cortes ,PDP-Laban[14] ,1,Majority ,,17,Jonas,Cortes
Cebu ,7th ,Peter John Calderon ,NPC ,1,Majority ,,17,Peter,Calderon
Cebu City ,1st ,Raul del Mar ,Liberal ,2,Majority ,,17,Raul,Mar
Cebu City ,2nd ,Rodrigo Abellanosa ,LDP ,2,Majority ,,17,Rodrigo,Abellanosa
Compostela Valley ,1st ,Maria Carmen Zamora ,HNP ,3,Majority ,,17,Maria,Zamora
Compostela Valley ,2nd ,Ruwel Peter Gonzaga ,PDP-Laban ,1,Majority ,,17,Ruwel,Gonzaga
Cotabato ,1st ,Jesus Sacdalan[13] ,PDP-Laban ,3,Majority ,,17,Jesus,Sacdalan
Cotabato ,2nd ,Nancy Catamco[11] ,PDP-Laban ,3,Majority ,,17,Nancy,Catamco
Cotabato ,3rd ,Jose Tejada ,Nacionalista ,2,Majority ,,17,Jose,Tejada
Davao City ,1st ,Karlo Nograles6 ,PDP-Laban ,3,Majority ,,17,Karlo,Nograles
Davao City ,2nd ,Mylene Garcia-Albano[12] ,PDP-Laban ,3,Majority ,,17,Mylene,Garcia-Albano
Davao City ,3rd ,Alberto Ungab ,HNP ,1,Majority ,,17,Alberto,Ungab
