Province,District,Name,Party,,Year,First,Last
Abra ,Lone ,Jeremias Z. Zapata ,Lakas-NUCD ,2,10,Jeremias,Zapata
Agusan del Norte ,1st ,Charito B. Plaza ,Liberal ,3,10,Charito,Plaza
Agusan del Norte ,2nd ,"Eduardo L. Rama, Sr. ",LDP ,1,10,Eduardo,Rama
Agusan del Sur ,Lone ,Ceferino S. Paredes Jr. ,NPC ,2,10,Ceferino,Paredes
Aklan ,Lone ,Allen S. Quimpo ,Lakas-NUCD ,2,10,Allen,Quimpo
Albay ,1st ,Edcel C. Lagman ,LDP ,3,10,Edcel,Lagman
Albay ,2nd ,Carlos R. Imperial ,NPC ,2,10,Carlos,Imperial
Albay ,3rd ,Romeo R. Salalima ,Lakas-NUCD ,1,10,Romeo,Salalima
Antique ,Lone ,Exequiel B. Javier ,Lakas-NUCD ,3,10,Exequiel,Javier
Aurora ,Lone ,Bellaflor Angara-Castillo ,LDP ,1,10,Bellaflor,Angara-Castillo
Bacolod City ,Lone ,Romeo G. Guanzon ,Lakas-NUCD ,3,10,Romeo,Guanzon
Baguio City ,Lone ,Bernardo M. Vergara ,Lakas-NUCD ,1,10,Bernardo,Vergara
Basilan ,Lone ,Candu I. Muarip ,LDP ,1,10,Candu,Muarip
Bataan ,1st ,Felicito C. Payumo ,Liberal ,3,10,Felicito,Payumo
Bataan ,2nd ,Enrique T. Garcia Jr. ,LDP ,1,10,Enrique,Garcia
Batanes ,Lone ,Florencio B. Abad ,Liberal ,1,10,Florencio,Abad
Batangas ,1st ,Eduardo R. Ermita ,Lakas-NUCD ,2,10,Eduardo,Ermita
Batangas ,2nd ,Hernando B. Perez ,Lakas-NUCD ,3,10,Hernando,Perez
Batangas ,3rd ,Milagros Laurel-Trinidad ,Lakas-NUCD ,3,10,Milagros,Laurel-Trinidad
Batangas ,4th ,Ralph G. Recto ,LDP ,2,10,Ralph,Recto
Benguet ,Lone ,Ronald M. Cosalan ,Lakas-NUCD ,1,10,Ronald,Cosalan
Biliran ,Lone ,Gerardo S. Espina ,NPC/Bando Espina ,1,10,Gerardo,Espina
Bohol ,1st ,Venice Borja-Agana ,Lakas-NUCD ,3,10,Venice,Borja-Agana
Bohol ,2nd ,Erico B. Aumentado ,Lakas-NUCD ,2,10,Erico,Aumentado
Bohol ,3rd ,Isidro C. Zarraga ,Lakas-NUCD ,3,10,Isidro,Zarraga
Bukidnon ,1st ,Socorro O. Acosta ,Liberal ,3,10,Socorro,Acosta
Bukidnon ,2nd ,Reginaldo N. Tilanduca ,NPC ,2,10,Reginaldo,Tilanduca
Bukidnon ,3rd ,Jose Ma. R. Zubiri Jr. ,NPC ,3,10,Jose,Zubiri
