Province,District,Name,Party,,Year,First,Last
Bulacan ,1st ,Teodulo C. Natividad ,LDP ,2,10,Teodulo,Natividad
Bulacan ,2nd ,Pedro M. Pancho ,Lakas-NUCD ,2,10,Pedro,Pancho
Bulacan ,3rd ,Ricardo C. Silverio ,Lakas-NUCD ,2,10,Ricardo,Silverio
Bulacan ,4th ,Angelito M. Sarmiento ,Lakas-NUCD ,2,10,Angelito,Sarmiento
Cagayan ,1st ,Patricio T. Antonio ,Lakas-NUCD ,1,10,Patricio,Antonio
Cagayan ,2nd ,Edgar R. Lara ,NPC ,2,10,Edgar,Lara
Cagayan ,3rd ,Manuel N. Mamba ,Lakas-NUCD ,1,10,Manuel,Mamba
Cagayan de Oro City ,Lone ,Erasmo B. Damasing ,Lakas-NUCD ,2,10,Erasmo,Damasing
Caloocan City ,1st ,Roberto S. Guanzon ,Lakas-NUCD ,1,10,Roberto,Guanzon
Caloocan City ,2nd ,Luis A. Asistio ,NPC ,2,10,Luis,Asistio
Camarines Norte ,Lone ,Emmanuel B. Pimentel ,LDP ,2,10,Emmanuel,Pimentel
Camarines Sur ,1st ,Rolando R. Andaya ,Lakas-NUCD ,3,10,Rolando,Andaya
Camarines Sur ,2nd ,Leopoldo E. San Buenaventura ,PRP ,1,10,Leopoldo,Buenaventura
Camarines Sur ,3rd ,Arnulfo P. Fuentebella ,NPC ,2,10,Arnulfo,Fuentebella
Camarines Sur ,4th ,Ciriaco R. Alfelor ,Lakas-NUCD ,3,10,Ciriaco,Alfelor
Camiguin ,Lone ,Pedro P. Romualdo ,Lakas-NUCD ,3,10,Pedro,Romualdo
Capiz ,1st ,Manuel A. Roxas II ,Liberal ,2,10,Manuel,Roxas
Capiz ,2nd ,Vicente J. Andaya Jr. ,Lakas-NUCD ,2,10,Vicente,Andaya
Catanduanes ,Lone ,Leandro B. Verceles Jr. ,NPC ,2,10,Leandro,Verceles
Cavite ,1st ,Plaridel M. Abaya ,NPC ,1,10,Plaridel,Abaya
Cavite ,2nd ,Renato P. Dragon ,LDP/Magdalo ,3,10,Renato,Dragon
Cavite ,3rd ,Telesforo A. Unas ,LDP ,2,10,Telesforo,Unas
Cebu ,1st ,Eduardo R. Gullas ,LDP ,2,10,Eduardo,Gullas
Cebu ,2nd ,Crisologo A. Abines ,NPC ,3,10,Crisologo,Abines
Cebu ,3rd ,John Henry R. Osmeña ,NPC ,1,10,John,Osmeña
Cebu ,4th ,Celestino E. Martinez Jr. ,Lakas-NUCD ,3,10,Celestino,Martinez
Cebu ,5th ,Ramon D. Durano III ,NPC ,3,10,Ramon,Durano
Cebu ,6th ,Nerissa Corazon Soon-Ruiz ,LDP ,2,10,Nerissa,Soon-Ruiz
Cebu City ,1st ,Raul V. Del Mar ,Lakas-NUCD ,3,10,Raul,Mar
Cebu City ,2nd ,Antonio V. Cuenco ,Lakas-NUCD ,3,10,Antonio,Cuenco
Cotabato (North) ,1st ,Anthony P. Dequiña ,NPC ,2,10,Anthony,Dequiña
Cotabato (North) ,2nd ,Gregorio A. Andolana ,Lakas-NUCD ,3,10,Gregorio,Andolana
Davao City ,1st ,Prospero C. Nograles ,PRP ,1,10,Prospero,Nograles
Davao City ,2nd ,Manuel M. Garcia ,NPC ,2,10,Manuel,Garcia
Davao City ,3rd ,Elias B. Lopez ,NPC ,2,10,Elias,Lopez
Davao del Norte ,1st ,Rogelio M. Sarmiento ,Lakas-NUCD ,2,10,Rogelio,Sarmiento
Davao del Norte ,2nd ,Baltazar A. Sator ,Lakas-NUCD ,3,10,Baltazar,Sator
Davao del Norte ,3rd ,Rodolfo P. Del Rosario ,Lakas-NUCD ,3,10,Rodolfo,Rosario
Davao del Sur ,1st ,Alejandro Almendras Jr. ,NPC ,1,10,Alejandro,Almendras
Davao del Sur ,2nd ,"Benjamin V. Bautista, Sr. ",LDP ,3,10,Benjamin,Bautista
Davao Oriental ,1st ,Ma. Elena T. Palma-Gil ,Lakas-NUCD ,2,10,Elena,Palma-Gil
Davao Oriental ,2nd ,Thelma Z. Almario ,LDP ,3,10,Thelma,Almario
Eastern Samar ,Lone ,Jose T. Ramirez ,Lakas-NUCD ,3,10,Jose,Ramirez
Guimaras ,Lone ,Catalino G. Nava , ,1,10,Catalino,Nava
Ifugao ,Lone ,Benjamin B. Cappleman ,LDP ,2,10,Benjamin,Cappleman
Ilocos Norte ,1st ,Roque R. Ablan Jr. ,KBL ,3,10,Roque,Ablan
Ilocos Norte ,2nd ,Simeon M. Valdez ,Lakas-NUCD ,1,10,Simeon,Valdez
Ilocos Sur ,1st ,Mariano M. Tajon ,LDP ,2,10,Mariano,Tajon
Ilocos Sur ,2nd ,Eric D. Singson ,LDP ,3,10,Eric,Singson
Iloilo ,1st ,Oscar G. Garin ,Lakas-NUCD ,3,10,Oscar,Garin
Iloilo ,2nd ,Alberto J. Lopez ,Lakas-NUCD ,3,10,Alberto,Lopez
Iloilo ,3rd ,Licurgo P. Tirador ,Lakas-NUCD ,3,10,Licurgo,Tirador
Iloilo ,4th ,Narciso D. Monfort ,Lakas-NUCD ,1,10,Narciso,Monfort
Iloilo ,5th ,"Neil D. Tupas, Sr. ",LDP ,3,10,Neil,Tupas
Iloilo City ,Lone ,Raul M. Gonzales ,Lakas-NUCD ,1,10,Raul,Gonzales
Isabela ,1st ,Rodolfo B. Albano Jr. ,NPC ,3,10,Rodolfo,Albano
Isabela ,2nd ,Faustino S. Dy Jr. ,NPC ,2,10,Faustino,Dy
Isabela ,3rd ,Santiago P. Respicio ,NPC ,3,10,Santiago,Respicio
Isabela ,4th ,Antonio M. Abaya ,Lakas-NUCD ,3,10,Antonio,Abaya
Kalinga-Apayao ,Lone ,Elias K. Bulut ,LDP ,2,10,Elias,Bulut
La Union ,1st ,Victor F. Ortega ,NPC ,3,10,Victor,Ortega
La Union ,2nd ,Jose D. Aspiras ,NPC ,3,10,Jose,Aspiras
Laguna ,1st ,Nereo R. Joaquin Jr. ,NPC ,1,10,Nereo,Joaquin
Laguna ,2nd ,Joaquin M. Chipeco Jr. ,LDP ,1,10,Joaquin,Chipeco
Laguna ,3rd ,Florante L. Aquino ,Lakas-NUCD ,3,10,Florante,Aquino
Laguna ,4th ,Magdaleno M. Palacol ,Lakas-NUCD ,3,10,Magdaleno,Palacol
Lanao del Norte ,1st ,"Mariano Ll. Badelles, Sr. ",NPC ,3,10,Mariano,Badelles
Lanao del Norte ,2nd ,Abdullah S. Mangotara ,Lakas-NUCD ,1,10,Abdullah,Mangotara
Lanao del Sur ,1st ,Mamintal M. Adiong ,Lakas-NUCD ,2,10,Mamintal,Adiong
Lanao del Sur ,2nd ,Pangalian M. Balindong ,Liberal ,1,10,Pangalian,Balindong
Las Piñas-Muntinlupa ,Lone ,Manuel B. Villar Jr. ,Lakas-NUCD ,2,10,Manuel,Villar
Leyte ,1st ,Imelda R. Marcos2 ,KBL ,1,10,Imelda,Marcos
Leyte ,2nd ,Sergio Antonio F. Apostol ,Lakas-NUCD ,2,10,Sergio,Apostol
Leyte ,3rd ,Alberto S. Veloso ,NPC ,3,10,Alberto,Veloso
Leyte ,4th ,Carmelo J. Locsin ,independent ,3,10,Carmelo,Locsin
Leyte ,5th ,Eriberto V. Loreto ,LDP ,3,10,Eriberto,Loreto
Maguindanao ,1st ,Didagen P. Dilangalen ,PMP ,1,10,Didagen,Dilangalen
Maguindanao ,2nd ,Simeon A. Datumanong ,Lakas-NUCD ,3,10,Simeon,Datumanong
Makati City ,Lone ,Joker P. Arroyo ,independent ,2,10,Joker,Arroyo
Malabon–Navotas ,Lone ,Teresa Aquino-Oreta ,LDP ,3,10,Teresa,Aquino-Oreta
Mandaluyong ,Lone ,Neptali M. Gonzales II ,LDP ,1,10,Neptali,Gonzales
Manila ,1st ,Martin B. Isidro ,Liberal ,3,10,Martin,Isidro
Manila ,2nd ,Jaime C. Lopez ,Lakas-NUCD ,3,10,Jaime,Lopez
Manila ,3rd ,Leonardo B. Fugoso ,Liberal ,3,10,Leonardo,Fugoso
Manila ,4th ,Ramon S. Bagatsing Jr. ,LDP ,3,10,Ramon,Bagatsing
Manila ,5th ,Amado S. Bagatsing ,LDP ,3,10,Amado,Bagatsing
Manila ,6th ,Rosenda Ann H. Ocampo ,NPC ,2,10,Rosenda,Ocampo
Marikina ,Lone ,Romeo D. Candazo ,Lakas-NUCD ,2,10,Romeo,Candazo
Marinduque ,Lone ,Carmencita O. Reyes ,Lakas-NUCD ,3,10,Carmencita,Reyes
Masbate ,1st ,Vida V. Espinosa ,LDP ,1,10,Vida,Espinosa
Masbate ,2nd ,Luz Cleta R. Bakunawa ,NPC ,3,10,Luz,Bakunawa
Masbate ,3rd ,Fausto L. Seachon Jr. ,NPC ,1,10,Fausto,Seachon
Misamis Occidental ,1st ,Percival B. Catane ,Lakas-NUCD ,2,10,Percival,Catane
Misamis Occidental ,2nd ,Herminia M. Ramiro ,Liberal ,1,10,Herminia,Ramiro
Misamis Oriental ,1st ,Homobono T. Cesar ,Lakas-NUCD ,2,10,Homobono,Cesar
Misamis Oriental ,2nd ,Victorico L. Chavez ,Lakas-NUCD ,2,10,Victorico,Chavez
Mountain Province ,Lone ,Victor S. Dominguez ,LDP ,3,10,Victor,Dominguez
Negros Occidental ,1st ,Julio A. Ledesma IV ,NPC ,1,10,Julio,Ledesma
Negros Occidental ,2nd ,Alfredo G. Marañon ,NPC ,1,10,Alfredo,Marañon
Negros Occidental ,3rd ,Jose Carlos V. Lacson ,Lakas-NUCD ,3,10,Jose,Lacson
Negros Occidental ,4th ,Edward M. Matti ,NPC ,3,10,Edward,Matti
Negros Occidental ,5th ,Mariano M. Yulo ,NPC ,3,10,Mariano,Yulo
Negros Occidental ,6th ,Genaro M. Alvarez Jr. ,NPC ,1,10,Genaro,Alvarez
Negros Oriental ,1st ,Jerome V. Paras ,LDP ,3,10,Jerome,Paras
Negros Oriental ,2nd ,Miguel L. Romero ,LDP ,3,10,Miguel,Romero
Negros Oriental ,3rd ,Margarito B. Teves ,Lakas-NUCD ,3,10,Margarito,Teves
Northern Samar ,1st ,Raul A. Daza ,Liberal ,3,10,Raul,Daza
Northern Samar ,2nd ,Wilmar P. Lucero ,Liberal ,2,10,Wilmar,Lucero
Nueva Ecija ,1st ,Renato V. Diaz ,Lakas-NUCD ,2,10,Renato,Diaz
Nueva Ecija ,2nd ,Eleuterio R. Violago ,NPC/BALANE ,2,10,Eleuterio,Violago
Nueva Ecija ,3rd ,Pacifico M. Fajardo ,NPC ,2,10,Pacifico,Fajardo
Nueva Ecija ,4th ,Julita Lorenzo-Villareal ,LDP ,1,10,Julita,Lorenzo-Villareal
Nueva Vizcaya ,Lone ,Carlos M. Padilla ,LDP ,1,10,Carlos,Padilla
Occidental Mindoro ,Lone ,Jose T. Villarosa ,LDP ,2,10,Jose,Villarosa
Oriental Mindoro ,1st ,J. Renato V. Leviste ,NPC ,2,10,J.,Leviste
Oriental Mindoro ,2nd ,Jesus M. Punzalan ,Lakas-NUCD ,3,10,Jesus,Punzalan
Palawan ,1st ,Vicente A. Sandoval ,Lakas-NUCD ,1,10,Vicente,Sandoval
Palawan ,2nd ,Alfredo Amor E. Abueg Jr. ,LDP ,2,10,Alfredo,Abueg
Pampanga ,1st ,Carmelo F. Lazatin ,Lakas-NUCD ,3,10,Carmelo,Lazatin
Pampanga ,2nd ,Zenaida C. Cruz-Ducut ,NPC ,1,10,Zenaida,Cruz-Ducut
Pampanga ,3rd ,Oscar S. Rodriguez ,NPC ,1,10,Oscar,Rodriguez
Pampanga ,4th ,Emilio Bondoc ,NPC ,3,10,Emilio,Bondoc
Pangasinan ,1st ,Hernani A. Braganza , ,1,10,Hernani,Braganza
Pangasinan ,2nd ,Antonio E. Bengson III , ,1,10,Antonio,Bengson
Pangasinan ,3rd ,Eric Galo P. Acuña , ,2,10,Eric,Acuña
Pangasinan ,4th ,Jose C. De Venecia Jr. ,Lakas-NUCD ,3,10,Jose,Venecia
Pangasinan ,5th ,Amadeo R. Perez Jr. , ,2,10,Amadeo,Perez
Pangasinan ,6th ,Ranjit R. Shahani , ,1,10,Ranjit,Shahani
Parañaque ,Lone ,Roilo J. Golez , ,2,10,Roilo,Golez
Pasay City ,Lone ,Jovito O. Claudio , ,2,10,Jovito,Claudio
Pasig ,Lone ,Rufino S. Javier , ,3,10,Rufino,Javier
Pateros–Taguig ,Lone ,Dante O. Tinga , ,3,10,Dante,Tinga
Quezon ,1st ,Wilfrido L. Enverga , ,3,10,Wilfrido,Enverga
Quezon ,2nd ,Marcial C. Punzalan Jr. , ,2,10,Marcial,Punzalan
Quezon ,3rd ,Danilo E. Suarez , ,2,10,Danilo,Suarez
Quezon ,4th ,Wigberto E. Tañada , ,1,10,Wigberto,Tañada
Quezon City ,1st ,Reynaldo A. Calalay , ,1,10,Reynaldo,Calalay
Quezon City ,2nd ,Dante V. Liban , ,2,10,Dante,Liban
Quezon City ,3rd ,Michael I. Defensor , ,1,10,Michael,Defensor
Quezon City ,4th ,Feliciano R. Belmonte Jr. ,Lakas-NUCD ,2,10,Feliciano,Belmonte
Quirino ,Lone ,Junie E. Cua , ,3,10,Junie,Cua
Rizal ,1st ,Gilberto M. Duavit , ,2,10,Gilberto,Duavit
Rizal ,2nd ,Emigdio S. Tanjuatco Jr. , ,3,10,Emigdio,Tanjuatco
Romblon ,Lone ,Eleandro Jesus F. Madrona , ,2,10,Eleandro,Madrona
Samar (Western) ,1st ,Rodolfo T. Tuazon , ,2,10,Rodolfo,Tuazon
Samar (Western) ,2nd ,Catalino V. Figueroa , ,2,10,Catalino,Figueroa
San Juan ,Lone ,Ronaldo B. Zamora , ,3,10,Ronaldo,Zamora
Sarangani ,Lone ,James L. Chiongbian , ,3,10,James,Chiongbian
Siquijor ,Lone ,Orlando B. Fua , ,2,10,Orlando,Fua
Sorsogon ,1st ,Salvador H. Escudero III , ,3,10,Salvador,Escudero
Sorsogon ,2nd ,Bonifacio H. Gillego , ,3,10,Bonifacio,Gillego
South Cotabato ,1st ,Luwalhati R. Antonino , ,2,10,Luwalhati,Antonino
South Cotabato ,2nd ,Daisy P. Avance-Fuentes , ,2,10,Daisy,Avance-Fuentes
Southern Leyte ,Lone ,Roger G. Mercado , ,2,10,Roger,Mercado
Sultan Kudarat ,Lone ,Angelo O. Montilla , ,1,10,Angelo,Montilla
Sulu ,1st ,Bensaudi O. Tulawie , ,2,10,Bensaudi,Tulawie
Sulu ,2nd ,Asani S. Tammang , ,2,10,Asani,Tammang
Surigao del Norte ,1st ,Constantino H. Navarro Jr. , ,1,10,Constantino,Navarro
Surigao del Norte ,2nd ,Robert Z. Barbers1 , ,1,10,Robert,Barbers
Surigao del Sur ,1st ,Mario S. Ty , ,3,10,Mario,Ty
Surigao del Sur ,2nd ,Jesnar R. Falcon , ,1,10,Jesnar,Falcon
Tarlac ,1st ,Jose S. Cojuangco Jr. , ,3,10,Jose,Cojuangco
Tarlac ,2nd ,Jose V. Yap , ,3,10,Jose,Yap
Tarlac ,3rd ,Herminio S. Aquino , ,3,10,Herminio,Aquino
Tawi-Tawi ,Lone ,Nur G. Jaafar , ,2,10,Nur,Jaafar
Valenzuela ,Lone ,Antonio M. Serapio , ,1,10,Antonio,Serapio
Zambales ,1st ,James J. Gordon Jr. , ,1,10,James,Gordon
Zambales ,2nd ,Antonio M. Diaz , ,2,10,Antonio,Diaz
Zamboanga City ,Lone ,Maria Clara Lobregat ,LDP ,3,10,Maria,Lobregat
Zamboanga del Norte ,1st ,Romeo G. Jalosjos , ,1,10,Romeo,Jalosjos
Zamboanga del Norte ,2nd ,Cresente Y. Llorente Jr. , ,1,10,Cresente,Llorente
Zamboanga del Norte ,3rd ,Angel M. Carloto , ,3,10,Angel,Carloto
Zamboanga del Sur ,1st ,Alejandro S. Urro , ,2,10,Alejandro,Urro
Zamboanga del Sur ,2nd ,Antonio H. Cerilles , ,3,10,Antonio,Cerilles
Zamboanga del Sur ,3rd ,Belma A. Cabilao , ,2,10,Belma,Cabilao
