"District Representatives ","","","","",""
"Province/City ","District ","Representative ","","Party ","Term "
"Abra ","Lone ","  ","Jeremias Z. Zapata ","Lakas-NUCD ","1 "
"Agusan del Norte ","1st "," ","Charito B. Plaza "," ","2 "
"","2nd "," ","Edelmiro A. Amante, Sr. ","Nacionalista ","2 "
"Agusan del Sur ","Lone "," ","Ceferino S. Paredes, Jr. ","NPC ","1 "
"Aklan ","Lone "," ","Allen S. Quimpo ","Lakas-NUCD ","1 "
"Albay ","1st "," ","Edcel C. Lagman ","LDP ","2 "
"","2nd "," ","Carlos R. Imperial ","NPC ","1 "
"","3rd "," ","Al Francis C. Bichara ","Nacionalista ","1 "
"Antique ","Lone "," ","Exequiel B. Javier ","Lakas-NUCD ","2 "
"Aurora ","Lone "," ","Benedicto G. Miran ","LDP ","2 "
"Bacolod City ","Lone "," ","Romeo G. Guanzon ","Lakas-NUCD ","2 "
"Basilan ","Lone "," ","Elnorita P. Tugung "," ","1 "
"Bataan ","1st "," ","Felicito C. Payumo ","Liberal ","2 "
"","2nd "," ","Dominador N. Venegas "," ","1 "
"Batanes ","Lone "," ","Enrique C. Lizardo ","LDP ","1 "
"Batangas ","1st "," ","Eduardo R. Ermita ","Lakas-NUCD ","1 "
"","2nd "," ","Hernando B. Perez ","Lakas-NUCD ","2 "
"","3rd "," ","Milagros Laurel-Trinidad ","Nacionalista ","2 "
"","4th "," ","Ralph G. Recto ","LDP ","1 "
"Benguet ","1st ","  ","Bernardo M. Vergara ","NPC ","1 "
"","2nd ","  ","Samuel M. Dangwa ","LDP ","2 "
"Bohol ","1st "," ","Venice Borja-Agana ","Lakas NUCD ","2 "
"","2nd "," ","Erico B. Aumentado ","Lakas NUCD ","1 "
"","3rd "," ","Isidro C. Zarraga ","Lakas NUCD ","2 "
"Bukidnon ","1st "," ","Socorro O. Acosta ","Liberal ","2 "
"","2nd "," ","Reginaldo N. Tilanduca ","NPC ","1 "
"","3rd "," ","Jose Ma. R. Zubiri, Jr. ","NPC ","2 "
"Bulacan ","1st "," ","Teodulo C. Natividad ","LDP ","1 "
"","2nd "," ","Pedro M. Pancho ","Lakas NUCD ","1 "
"","3rd "," ","Ricardo C. Silverio ","Lakas NUCD ","1 "
"","4th "," ","Angelito M. Sarmiento ","Lakas NUCD ","1 "
"Cagayan ","1st ","  ","Juan Ponce Enrile ","Nacionalista ","1 "
"","2nd ","  ","Edgar R. Lara ","NPC ","1 "
"","3rd ","  ","Francisco K. Mamba ","Lakas-NUCD ","1 "
"Cagayan de Oro City ","Lone "," ","Erasmo B. Damasing ","Lakas NUCD ","1 "
"Caloocan City ","1st "," ","Aurora A. Henson "," ","1 "
"","2nd "," ","Luis A. Asistio ","NPC ","1 "
"Camarines Norte ","Lone "," ","Emmanuel B. Pimentel ","LDP ","1 "
"Camarines Sur ","1st "," ","Rolando R. Andaya ","Lakas NUCD ","2 "
"","2nd "," ","Celso O. Baguio "," ","1 "
"","3rd "," ","Arnulfo P. Fuentebella ","NPC ","1 "
"","4th "," ","Ciriaco R. Alfelor ","Lakas NUCD ","2 "
"Camiguin ","Lone "," ","Pedro P. Romualdo ","Lakas NUCD ","2 "
"Capiz ","1st ","  ","Gerardo A. Roxas, Jr.1 ","Liberal ","2 "
"","","  ","Manuel A. Roxas II2 ","Liberal ","1 "
"","2nd "," ","Vicente J. Andaya, Jr. ","Lakas NUCD ","1 "
"Catanduanes ","Lone "," ","Leandro B. Verceles, Jr. ","LDP ","1 "
"Cavite ","1st "," ","Dominador G. Nazareno, Jr. ","NPC ","1 "
"","2nd "," ","Renato P. Dragon ","LDP/MAGDALO ","2 "
"","3rd "," ","Telesforo A. Unas ","LDP ","1 "
"Cebu ","1st "," ","Eduardo R. Gullas ","LDP ","1 "
"","2nd "," ","Crisologo Abines ","NPC ","2 "
"","3rd "," ","Pablo P. Garcia ","LDP ","2 "
"","4th "," ","Celestino E. Martinez, Jr. ","Lakas NUCD ","2 "
"","5th "," ","Ramon D. Durano III ","NPC ","2 "
"","6th "," ","Nerissa Corazon Soon-Ruiz ","LDP ","1 "
"Cebu City ","1st "," ","Raul V. Del Mar "," ","2 "
"","2nd "," ","Antonio V. Cuenco "," ","2 "
"Cotabato (North) ","1st "," ","Anthony P. Dequiña "," ","1 "
"","2nd "," ","Gregorio A. Andolana "," ","2 "
"Davao City ","1st "," ","Jesus G. Dureza "," ","2 "
"","2nd "," ","Manuel M. Garcia "," ","1 "
"","3rd "," ","Elias B. Lopez "," ","1 "
"Davao del Norte ","1st "," ","Rogelio M. Sarmiento "," ","1 "
"","2nd "," ","Baltazar A. Sator "," ","2 "
"","3rd "," ","Rodolfo P. Del Rosario "," ","2 "
"Davao del Sur ","1st "," ","Alejandro D. Almendras, Sr. "," ","1 "
"","2nd "," ","Benjamin V. Bautista, Sr. "," ","2 "
"Davao Oriental ","1st "," ","Ma. Elena T. Palma-Gil "," ","1 "
"","2nd "," ","Thelma Z. Almario "," ","2 "
"Eastern Samar ","Lone "," ","Jose T. Ramirez "," ","2 "
"Ifugao ","Lone ","  ","Benjamin B. Cappleman ","LDP ","1 "
"Ilocos Norte ","1st ","  ","Roque R. Ablan, Jr. ","KBL ","2 "
"","2nd ","  ","Ferdinand R. Marcos II ","KBL ","1 "
"Ilocos Sur ","1st ","  ","Mariano M. Tajon ","LDP ","1 "
"","2nd ","  ","Eric D. Singson ","LDP ","2 "
"Iloilo ","1st "," ","Oscar G. Garin "," ","2 "
"","2nd "," ","Alberto J. Lopez "," ","2 "
"","3rd "," ","Licurgo P. Tirador "," ","2 "
"","4th "," ","Nicetas P. Panes "," ","1 "
"","5th "," ","Neil D. Tupas "," ","2 "
"Iloilo City ","Lone "," ","Rafael J. Lopez-Vito "," ","2 "
"Isabela ","1st ","  ","Rodolfo B. Albano ","NPC ","2 "
"","2nd ","  ","Faustino S. Dy, Jr. ","NPC ","1 "
"","3rd ","  ","Santiago P. Respicio ","NPC ","2 "
"","4th ","  ","Antonio M. Abaya ","NPC ","2 "
"Kalinga-Apayao ","Lone ","  ","Elias K. Bulut ","LDP ","1 "
"La Union ","1st ","  ","Victor F. Ortega ","NPC ","2 "
"","2nd ","  ","Jose D. Aspiras ","NPC ","2 "
"Laguna ","1st "," ","Roy M. Almoro "," ","1 "
"","2nd "," ","Rodolfo R. Tingzon "," ","1 "
"","3rd "," ","Florante L. Aquino "," ","2 "
"","4th "," ","Magdaleno M. Palacol "," ","2 "
"Lanao del Norte ","1st "," ","Mariano Ll. Badelles, Sr. "," ","2 "
"","2nd "," ","Mario E. Hisuler "," ","1 "
"Lanao del Sur ","1st "," ","Mamintal M. Adiong ","Lakas-NUCD ","1 "
"","2nd "," ","Mohamad Ali B. Dimaporo ","NPC ","2 "
"Las Piñas-Muntinlupa ","Lone ","  ","Manuel B. Villar, Jr. ","Lakas-NUCD ","1 "
"Leyte ","1st "," ","Cirilo Roy C. Montejo "," ","2 "
"","2nd "," ","Sergio Antonio F. Apostol "," ","1 "
"","3rd "," ","Alberto S. Veloso "," ","2 "
"","4th "," ","Carmelo J. Locsin "," ","2 "
"","5th "," ","Eriberto V. Loreto "," ","2 "
"Maguindanao ","1st "," ","Michael O. Mastura "," ","2 "
"","2nd "," ","Simeon A. Datumanong ","Lakas-NUCD ","2 "
"Makati ","Lone "," ","Joker P. Arroyo "," ","1 "
"Malabon-Navotas ","Lone "," ","Teresa Aquino-Oreta "," ","2 "
"Manila ","1st "," ","Martin B. Isidro "," ","2 "
"","2nd "," ","Jaime C. Lopez "," ","2 "
"","3rd "," ","Leonardo B. Fugoso "," ","2 "
"","4th "," ","Ramon S. Bagatsing, Jr. "," ","2 "
"","5th "," ","Amado S. Bagatsing "," ","2 "
"","6th "," ","Rosenda Ann M. Ocampo "," ","1 "
"Marikina ","Lone "," ","Romeo D. Candazo "," ","1 "
"Marinduque ","Lone "," ","Carmencita O. Reyes "," ","2 "
"Masbate ","1st "," ","Tito R. Espinosa3 "," ","2 "
"","2nd "," ","Luz Cleta R. Bakunawa "," ","2 "
"","3rd "," ","Antonio T. Kho "," ","1 "
"Misamis Occidental ","1st "," ","Percival B. Catane "," ","1 "
"","2nd "," ","Hilarion J. Ramiro, Jr. "," ","1 "
"Misamis Oriental ","1st "," ","Homobono T. Cesar "," ","1 "
"","2nd "," ","Victorico L. Chavez "," ","1 "
"Mountain Province ","Lone ","  ","Victor S. Dominguez ","Lakas-NUCD ","2 "
"Negros Occidental ","1st "," ","Tranquilino B. Carmona "," ","1 "
"","2nd "," ","Manuel H. Puey "," ","2 "
"","3rd "," ","Jose Carlos V. Lacson "," ","2 "
"","4th "," ","Edward M. Matti "," ","2 "
"","5th "," ","Mariano M. Yulo "," ","2 "
"","6th "," ","Hortensia L. Starke "," ","2 "
"Negros Oriental ","1st "," ","Jerome V. Paras "," ","2 "
"","2nd "," ","Miguel L. Romero "," ","2 "
"","3rd "," ","Margarito B. Teves "," ","2 "
"Northern Samar ","1st "," ","Raul A. Daza ","Liberal ","2 "
"","2nd "," ","Wilmar P. Lucero ","Liberal ","1 "
"Nueva Ecija ","1st "," ","Renato V. Diaz "," ","1 "
"","2nd "," ","Eleuterio R. Violago "," ","1 "
"","3rd "," ","Pacifico M. Fajardo "," ","1 "
"","4th "," ","Victorio A. Lorenzo "," ","1 "
"Nueva Vizcaya ","Lone "," ","Leonardo B. Perez ","NPC ","1 "
"Occidental Mindoro ","Lone "," ","Jose T. Villarosa "," ","1 "
"Oriental Mindoro ","1st "," ","J. Renato V. Leviste "," ","1 "
"","2nd "," ","Jesus M. Punzalan "," ","2 "
"Palawan ","1st "," ","David A. Ponce De Leon "," ","2 "
"","2nd "," ","Alfredo Amor E. Abueg, Jr. "," ","1 "
"Pampanga ","1st "," ","Carmelo F. Lazatin "," ","2 "
"","2nd "," ","Emigdio L. Lingad "," ","2 "
"","3rd "," ","Andrea D. Domingo "," ","1 "
"","4th "," ","Emilio Bondoc "," ","2 "
"Pangasinan ","1st ","  ","Oscar M. Orbos ","independent ","2 "
"","2nd ","  ","Chris F. Mendoza ","Lakas-NUCD ","2 "
"","3rd ","  ","Eric Galo P. Acuña ","NPC ","1 "
"","4th ","  ","Jose C. De Venecia, Jr. ","Lakas-NUCD ","2 "
"","5th ","  ","Amadeo R. Perez, Jr. ","LDP ","1 "
"","6th ","  ","Conrado M. Estrella III ","NPC ","2 "
"Parañaque ","Lone "," ","Roilo J. Golez "," ","1 "
"Pasay City ","Lone "," ","Jovito O. Claudio "," ","1 "
"Pasig ","Lone "," ","Rufino S. Javier "," ","2 "
"Pateros-Taguig ","Lone "," ","Dante O. Tinga "," ","2 "
"Quezon ","1st "," ","Wilfrido L. Enverga "," ","2 "
"","2nd "," ","Marcial C. Punzalan, Jr. "," ","1 "
"","3rd "," ","Danilo E. Suarez "," ","1 "
"","4th "," ","Manolet O. Lavides "," ","1 "
"Quezon City ","1st "," ","Renato A. Yap "," ","1 "
"","2nd "," ","Dante V. Liban "," ","1 "
"","3rd "," ","Dennis Y. Roldan "," ","1 "
"","4th ","  ","Feliciano R. Belmonte, Jr. ","Lakas-NUCD ","1 "
"Quirino ","Lone "," ","Junie E. Cua "," ","2 "
"Rizal ","1st ","  ","Manuel Sanchez4 ","Lakas NUCD ","1 "
"","","  ","Gilberto Duavit5 ","NPC ","1 "
"","2nd "," ","Emigdio S. Tanjuatco, Jr. "," ","2 "
"Romblon ","Lone "," ","Eleandro Jesus F. Madrona "," ","1 "
"Samar (Western) ","1st "," ","Rodolfo T. Tuazon "," ","1 "
"","2nd "," ","Catalino V. Figueroa "," ","1 "
"San Juan-Mandaluyong ","Lone "," ","Ronaldo B. Zamora "," ","2 "
"Siquijor ","Lone "," ","Orlando B. Fua "," ","1 "
"Sorsogon ","1st "," ","Salvador H. Escudero III "," ","2 "
"","2nd "," ","Bonifacio H. Gillego "," ","2 "
"South Cotabato ","1st "," ","Luwalhati R. Antonino "," ","1 "
"","2nd "," ","Daisy P. Avance-Fuentes "," ","1 "
"","3rd "," ","James L. Chiongbian "," ","2 "
"Southern Leyte ","Lone "," ","Roger G. Mercado "," ","2 "
"Sultan Kudarat ","Lone "," ","Estanislao V. Valdez "," ","2 "
"Sulu ","1st "," ","Bensaudi O. Tulawie "," ","1 "
"","2nd "," ","Asani S. Tammang "," ","1 "
"Surigao del Norte ","1st "," ","Glenda B. Ecleo "," ","2 "
"","2nd "," ","Robert Z. Barbers ","Lakas NUCD ","1 "
"Surigao del Sur ","1st "," ","Mario S. Ty "," ","2 "
"","2nd "," ","Ernesto T. Estrella "," ","2 "
"Tarlac ","1st "," ","Jose S. Cojuangco, Jr. "," ","2 "
"","2nd "," ","Jose V. Yap "," ","2 "
"","3rd "," ","Herminio S. Aquino "," ","2 "
"Tawi-Tawi ","Lone "," ","Nur G. Jaafar "," ","1 "
"Valenzuela ","Lone "," ","Antonio M. Serapio "," ","2 "
