Province/City ,District ,Representative ,,Party ,Term ,Bloc 
,4th, ,Sheena Tan ,PFP ,1,Majority 
,5th, ,Faustino Michael Dy III ,PFP ,1,Majority 
,6th, ,Faustino Michael Dy V ,NUP ,1,Majority 
Kalinga ,Lone , ,Allen Jesse Manaogang ,Nacionalista ,2,Majority 
La Union ,1st, ,Pablo Ortega ,NPC ,2,Majority 
,2nd, ,Sandra Eriguel ,PDP-Laban ,2,Majority 
Laguna ,1st, ,Dan Fernandez ,PDP-Laban ,1,Majority 
,2nd, ,Ruth Hernandez ,Independent ,1,Majority 
,3rd, ,Sol Aragones ,Nacionalista ,3,Majority 
,4th, ,Benjamin Agarao ,PDP-Laban ,3,Majority 
Lanao del Norte ,1st, ,Mohammed Khalid Dimaporo ,PDP-Laban ,2,Majority 
,2nd, ,Abdullah Dimaporo ,NPC ,3,Majority 
Lanao del Sur ,1st, ,Ansaruddin Alonto Adiong ,Nacionalista ,2,Majority 
,2nd, ,Farouk Macarambon Jr. ,Nacionalista ,1,Majority 
Lapu-Lapu City ,Lone , ,Paz Radaza ,Lakas ,1,Majority 
Las Piñas ,Lone , ,Camille Villar ,Nacionalista ,1,Majority 
Leyte ,1st, ,Ferdinand Martin Romualdez ,Lakas ,1,Majority 
,2nd, ,Lolita Javier ,PFP ,1,Majority 
,3rd, ,Vicente Veloso ,NUP ,2,Majority 
,4th, ,Lucy Gomez ,PDP-Laban ,3,Majority 
,5th, ,Carl Cari ,PFP ,1,Majority 
Maguindanao ,1st, ,Datu Roonie Sinsuat Sr. ,PDP-Laban ,1,Majority 
,2nd, ,Esmael Mangudadatu ,PDP-Laban ,1,Majority 
Makati ,1st, ,Romulo Kid Peña Jr. ,Liberal ,1,Majority 
,2nd, ,Luis Campos Jr. ,NPC ,2,Majority 
Malabon ,Lone , ,Josephine Lacson-Noel ,NPC ,1,Majority 
Mandaluyong ,Lone , ,Neptali Gonzales II ,PDP-Laban ,1,Majority 
Manila ,1st, ,Manuel Luis Lopez ,NPC ,2,Majority 
,2nd, ,Rolando Valeriano ,NUP/Asenso Manileño ,1,Majority 
,3rd, ,Yul Servo ,PDP-Laban/Asenso Manileño ,2,Majority 
,4th, ,Edward Maceda ,PMP ,2,Majority 
,5th, ,Cristal Bagatsing ,PDP-Laban/KABAKA ,2,Majority 
,6th, ,Benny M. Abante ,NUP/Asenso Manileño ,1,Minority 
Marikina ,1st, ,Bayani Fernando ,NPC ,2,Minority 
,2nd, ,Stella Quimbo ,Liberal ,1,Minority 
Marinduque ,Lone , ,Lord Allan Jay Velasco ,PDP-Laban ,2,Majority 
Masbate ,1st, ,Narciso Bravo Jr. ,NUP ,1,Majority 
,2nd, ,Elisa Olga Kho ,PDP-Laban ,3,Majority 
,3rd, ,Wilton Kho ,PDP-Laban ,1,Majority 
Misamis Occidental ,1st, ,Diego Ty ,NUP ,1,Majority 
,2nd, ,Henry Oaminal ,Nacionalista ,3,Majority 
Misamis Oriental ,1st, ,Christian Unabia ,Lakas ,1,Majority 
,2nd, ,Juliette Uy ,NUP ,3,Majority 
Mountain Province ,Lone , ,Maximo Dalog Jr. ,Nacionalista ,1,Majority 
Muntinlupa ,Lone , ,Ruffy Biazon ,PDP-Laban ,2,Majority 
Navotas ,Lone , ,John Rey Tiangco ,Partido Navoteño ,1,Majority 
Negros Occidental ,1st, ,Gerardo Valmayor ,NPC ,1,Majority 
,2nd, ,Leo Rafael Cueva ,NUP ,3,Majority 
,3rd, ,Jose Francisco Benitez ,PDP-Laban ,1,Majority 
,4th, ,Juliet Marie Ferrer ,NUP ,1,Majority 
,5th, ,Ma. Lourdes Arroyo ,Lakas ,1,Majority 
,6th, ,Genaro Alvarez ,NPC ,1,Majority 
Negros Oriental ,1st, ,Jocelyn S. Limkaichong ,Liberal ,2,Minority 
,2nd, ,Manuel T. Sagarbarria ,NPC ,2,Majority 
,3rd, ,Arnolfo A. Teves Jr. ,PDP-Laban ,2,Minority 
Northern Samar ,1st, ,Paul Daza ,Liberal ,1,Majority 
,2nd, ,Jun Ong ,NUP ,1,Majority 
Nueva Ecija ,1st, ,Estrellita Suansing ,PDP-Laban ,3,Majority 
,2nd, ,Micaela Violago ,NUP ,2,Majority 
,3rd, ,Rosanna Vergara ,PDP-Laban ,2,Majority 
,4th, ,Maricel Natividad ,PRP ,1,Majority 
Nueva Vizcaya ,Lone , ,Luisa Lloren Cuaresma ,NUP ,2,Majority 
Occidental Mindoro ,Lone , ,Josephine Ramirez-Sato ,Liberal ,3,Majority 
Oriental Mindoro ,1st, ,Paulino Salvador Leachon ,PDP-Laban ,3,Majority 
,2nd, ,Alfonso Umali Jr. ,Liberal ,1,Majority 
Palawan ,1st, ,Franz Alvarez ,NUP ,3,Majority 
,2nd,  ,Cyrille Abueg ,PPP ,1,Majority 
,3rd,  ,Gil Acosta ,PPP ,2,Majority 
Pampanga ,1st, ,Carmelo Lazatin II ,PDP-Laban ,2,Majority 
,2nd, ,Mikey Arroyo ,Lakas ,1,Majority 
,3rd, ,Aurelio D. Gonzales Jr. ,PDP-Laban ,2,Majority 
,4th, ,Juan Pablo Bondoc ,PDP-Laban ,1,Majority 
Pangasinan ,1st, ,Noli Celeste ,Nacionalista ,1,Majority 
,2nd, ,Jumel Espino ,PDP-Laban ,1,Majority 
,3rd, ,Rosemarie Arenas ,PDP-Laban ,3,Majority 
,4th, ,Christopher de Venecia ,Lakas ,2,Majority 
,5th, ,Ramon Guico III ,Lakas ,1,Majority 
,6th, ,Tyrone Agabas ,NPC ,1,Majority 
Parañaque ,1st, ,Eric Olivarez ,PDP-Laban ,3,Majority 
,2nd, ,Joy Tambunting ,NUP ,1,Majority 
Pasay ,Lone , ,Antonino Calixto ,PDP-Laban ,1,Majority 
Pasig ,Lone , ,Roman Romulo ,Aksyon ,1,Majority 
Quezon ,1st, ,Mark Enverga ,NPC ,1,Majority 
,2nd, ,David Suarez ,Nacionalista ,1,Majority 
,3rd, ,Aleta Suarez ,Lakas ,1,Majority 
,4th, ,Helen Tan ,NPC ,1,Majority 
Quezon City ,1st, ,Anthony Peter Crisologo ,NUP ,1,Majority 
,2nd, ,Precious Castelo ,NPC ,1,Majority 
,3rd, ,Allan Benedict Reyes ,PFP ,1,Majority 
,4th, ,Jesus Manuel Suntay ,PDP-Laban ,1,Majority 
,5th, ,Alfred Vargas ,PDP-Laban ,3,Majority 
,6th, ,Jose Christopher Belmonte ,Liberal ,3,Minority 
Quirino ,Lone , ,Junie Cua ,PDP-Laban ,1,Majority 
Rizal ,1st, ,Michael John Duavit ,NPC ,2,Majority 
,2nd, ,Fidel Nograles ,Lakas ,1,Majority 
Romblon ,Lone , ,Emmanuel Madrona ,Nacionalista ,1,Majority 
Samar ,1st, ,Edgar Mary S. Sarmiento ,NUP ,2,Majority 
,2nd, ,Sharee Ann Tan ,PDP-Laban ,1,Minority 
San Jose del Monte ,Lone , ,Florida Robes ,NUP ,2,Majority 
San Juan ,Lone , ,Ronaldo Zamora ,PDP-Laban ,3,Majority 
Sarangani ,Lone , ,Rogelio Pacquiao ,PDP-Laban ,2,Majority 
Siquijor ,Lone , ,Jake Villa ,NPC ,1,Majority 
Sorsogon ,1st, ,Evelina Escudero ,NPC ,3,Majority 
,2nd, ,Ditas Ramos ,NPC ,1,Majority 
South Cotabato ,1st, ,Shirlyn Bañas-Nograles ,PDP-Laban ,1,Majority 
,2nd, ,Ferdinand Hernandez ,PDP-Laban ,3,Majority 
Southern Leyte ,1st, ,(election pending)[2], , , 
,2nd, ,(election pending)[2], , , 
Sultan Kudarat ,1st, ,Bai Rihan Sakaluran ,NUP ,1,Majority 
,2nd, ,"Horacio Suansing, Jr. ",NUP ,2,Majority 
Sulu ,1st, ,Samier Tan ,PDP-Laban ,1,Majority 
,2nd, ,Abdulmunir Arbison ,Nacionalista ,3,Majority 
Surigao del Norte ,1st, ,Francisco Jose Matugas II ,PDP-Laban ,2,Majority 
,2nd, ,Robert Ace Barbers ,Nacionalista ,2,Majority 
Surigao del Sur ,1st, ,"Prospero Pichay, Jr. ",Lakas ,2,Majority 
,2nd, ,Johnny Pimentel ,PDP-Laban ,2,Majority 
Taguig–Pateros ,1st, ,Alan Peter Cayetano ,Nacionalista ,1,Majority 
Taguig ,2nd, ,Lani Cayetano ,Nacionalista ,1,Majority 
Tarlac ,1st, ,Charlie Cojuangco ,NPC ,2,Majority 
,2nd, ,Victor Yap ,NPC ,2,Majority 
,3rd, ,Noel Villanueva ,NPC ,3,Majority 
Tawi-Tawi ,Lone , ,Rashid Matba ,PDP-Laban ,2,Majority 
Valenzuela ,1st, ,Weslie Gatchalian ,NPC ,2,Majority 
,2nd, ,Eric Martinez ,PDP-Laban ,2,Majority 
Zambales ,1st, ,Jeffrey Khonghun ,Nacionalista ,3,Majority 
,2nd, ,Cherry Deloso-Montalla ,Liberal ,3,Majority 
Zamboanga City ,1st, ,Cesar Jimenez ,PDP-Laban ,1,Majority 
,2nd, ,Manuel Dalipe ,NPC ,2,Majority 
Zamboanga del Norte ,1st, ,"Romeo Jalosjos, Jr. ",Nacionalista ,1,Majority 
,2nd, ,Glona Labadlabad ,PDP-Laban ,2,Majority 
,3rd, ,Isagani Amatong ,Liberal ,3,Minority 
Zamboanga del Sur ,1st, ,Divina Grace Yu ,PDP-Laban ,2,Majority 
,2nd, ,Jun Babasa ,PDP-Laban ,1,Majority 
Zamboanga Sibugay ,1st, ,Wilter Palma II ,Lakas ,2,Majority 
,2nd, ,Dulce Ann Hofer ,PDP-Laban ,3,Majority 
