Province/City ,District ,Representative ,,Party ,Term ,Bloc 
Abra ,Lone , ,JB Bernos ,Nacionalista/Asenso ,2,Majority 
Agusan del Norte ,1st, ,Lawrence Lemuel Fortun ,Nacionalista ,3,Minority 
,2nd, ,Angelica Amante ,PDP-Laban ,1,Majority 
Agusan del Sur ,1st, ,Adolph Edward Plaza ,NUP ,1,Majority 
,2nd, ,Alfel Bascug ,NUP ,1,Majority 
Aklan ,1st, ,Carlito Marquez ,NPC ,2,Majority 
,2nd, ,"Teodorico Haresco, Jr. ",Nacionalista ,1,Majority 
Albay ,1st, ,Edcel Lagman ,Liberal ,2,Independent Minority 
,2nd, ,Joey Salceda ,PDP-Laban ,2,Majority 
,3rd, ,Fernando Cabredo ,PDP-Laban ,1,Majority 
Antipolo ,1st, ,Roberto Puno ,NUP ,1,Majority 
,2nd, ,Resurreccion Acop ,NUP ,1,Majority 
Antique ,Lone , ,Loren Legarda ,NPC ,1,Majority 
Apayao ,Lone , ,"Elias Bulut, Jr. ",NPC ,1,Majority 
Aurora ,Lone , ,Rommel Rico Angara ,LDP ,1,Majority 
Bacolod ,Lone , ,Greg Gasataya ,NPC ,2,Majority 
Baguio ,Lone , ,Mark Go ,Nacionalista ,2,Majority 
Basilan ,Lone , ,Mujiv Hataman ,Liberal ,1,Majority 
Bataan ,1st, ,Geraldine Roman ,PDP-Laban ,2,Majority 
,2nd, ,Jose Enrique Garcia III ,NUP ,2,Majority 
Batanes ,Lone , ,"Ciriaco Gato, Jr. ",NPC ,1,Majority 
Batangas ,1st, ,Eileen Ermita-Buhain ,Nacionalista ,3,Majority 
,2nd, ,Raneo Abu ,Nacionalista ,3,Majority 
,3rd, ,Maria Theresa Collantes ,PDP-Laban ,2,Majority 
,4th, ,Lianda Bolilia ,Nacionalista ,2,Majority 
,5th, ,Mario Vittorio Mariño ,Nacionalista ,2,Majority 
,6th, ,Vilma Santos-Recto ,Nacionalista ,2,Majority 
Benguet ,Lone , ,Nestor Fongwan ,PDP-Laban ,1,Majority 
Biliran ,Lone , ,"Gerardo Espina, Jr. ",PDP-Laban ,1,Majority 
Biñan ,Lone , ,Marlyn Alonte-Naguiat ,PDP-Laban ,2,Majority 
Bohol ,1st, ,Edgar Chatto ,Liberal ,1,Majority 
,2nd, ,Erico Aristotle Aumentado ,NPC ,3,Majority 
,3rd, ,Kristine Alexie Besas-Tutor ,Nacionalista ,1,Majority 
Bukidnon ,1st, ,Maria Lourdes Acosta-Alba ,Bukidnon Paglaum ,3,Majority 
,2nd, ,Johnathan Keith Flores ,PDP-Laban ,1,Majority 
,3rd, ,Manuel Zubiri ,Bukidnon Paglaum ,2,Majority 
,4th, ,Rogelio Neil Roque ,Nacionalista ,3,Majority 
Bulacan ,1st, ,Jose Antonio Sy-Alvarado ,NUP ,2,Majority 
,2nd, ,Gavini Pancho ,NUP ,3,Majority 
,3rd, ,Lorna Silverio ,NUP ,2,Majority 
,4th, ,Henry Villarica ,PDP-Laban ,1,Majority 
Cagayan ,1st, ,"Ramon Nolasco, Jr. ",NUP ,1,Majority 
,2nd, ,Sam Vargas-Alfonso ,NUP ,1,Majority 
,3rd, ,Joseph Lara ,PDP-Laban ,1,Majority 
Cagayan de Oro ,1st, ,Rolando Uy ,PDP-Laban ,3,Majority 
,2nd, ,Rufus Rodriguez ,CDP ,1,Majority 
Calamba ,Lone , ,"Joaquin Chipeco, Jr. ",Nacionalista ,3,Majority 
Caloocan ,1st, ,Dale Malapitan ,PDP-Laban ,2,Majority 
,2nd, ,Edgar Erice ,Liberal ,3,Majority 
Camarines Norte ,1st, ,Josefina Tallado ,PDP-Laban ,1,Majority 
,2nd, ,Marisol Panotes ,PDP-Laban ,2,Majority 
Camarines Sur ,1st, ,Marissa Andaya ,NPC ,1,Majority 
,2nd, ,Luis Raymund Villafuerte ,Nacionalista ,2,Majority 
,3rd, ,"Gabriel Bordado, Jr. ",Liberal ,2,Minority 
,4th, ,Arnulf Bryan Fuentebella ,NPC ,1,Majority 
,5th, ,Josal Fortuno ,Nacionalista ,1,Majority 
Camiguin ,Lone , ,Xavier Jesus Romualdo ,PDP-Laban ,3,Majority 
Capiz ,1st, ,Emmanuel Billones ,Liberal ,2,Majority 
,2nd, ,Fredenil Castro ,Lakas ,3,Majority 
Catanduanes ,Lone , ,Hector Sanchez ,Lakas ,1,Majority 
Cavite ,1st, ,Francis Gerald Abaya ,Liberal ,3,Majority 
,2nd, ,Strike Revilla ,NUP ,2,Majority 
,3rd, ,Alex Advincula ,NUP ,3,Minority 
,4th, ,"Elpidio Barzaga, Jr. ",NUP ,1,Majority 
,5th, ,Dahlia Loyola ,NPC ,1,Majority 
,6th, ,Luis Ferrer IV ,NUP ,3,Majority 
,7th, ,Jesus Crispin Remulla ,Nacionalista ,1,Majority 
,8th, ,Abraham Tolentino ,NUP ,3,Majority 
Cebu ,1st, ,Eduardo Gullas ,Nacionalista[1],1,Majority 
,2nd, ,Wilfredo Caminero ,NUP ,3,Majority 
,3rd, ,Pablo John Garcia ,NUP/1-Cebu,1,Majority 
,4th, ,Janice Salimbangon ,NUP/1-Cebu,1,Majority 
,5th, ,Duke Frasco ,Lakas ,1,Majority 
,6th, ,Emmarie Lollipop Ouano-Dizon ,PDP-Laban ,1,Majority 
,7th, ,Peter John Calderon ,NPC ,2,Majority 
Cebu City ,1st, ,Raul del Mar ,Liberal ,3,Majority 
,2nd, ,Rodrigo Abellanosa ,LDP ,3,Majority 
Compostela Valley ,1st, ,Manuel Zamora ,HNP ,1,Majority 
,2nd, ,Ruwel Peter Gonzaga ,PDP-Laban ,2,Majority 
Cotabato ,1st, ,Joel Sacdalan ,PDP-Laban ,1,Majority 
,2nd, ,Rudy Caoagdan ,PDP-Laban ,1,Majority 
,3rd, ,Jose Tejada ,Nacionalista ,3,Majority 
Davao City ,1st, ,Paolo Duterte ,NUP/HTL ,1,Majority 
,2nd, ,Vincent Garcia ,HNP ,1,Majority 
,3rd, ,Isidro Ungab ,HNP ,1,Majority 
Davao del Norte ,1st, ,Pantaleon Alvarez ,PDP-Laban ,2,Majority 
,2nd, ,Alan Dujali ,PDP-Laban ,1,Majority 
Davao del Sur ,Lone , ,Mercedes Cagas ,Nacionalista ,3,Majority 
Davao Occidental ,Lone , ,Lorna Bautista-Bandigan ,NPC ,2,Majority 
Davao Oriental ,1st, ,Corazon Nuñez-Malanyaon ,Nacionalista ,2,Majority 
,2nd, ,Joel Mayo Almario ,PDP-Laban ,2,Majority 
Dinagat Islands ,Lone , ,Alan Ecleo ,PDP-Laban ,1,Majority 
Eastern Samar ,Lone , ,Maria Fe Abunda ,PDP-Laban ,1,Majority 
Guimaras ,Lone , ,Lucille Nava ,PDP-Laban ,2,Majority 
Ifugao ,Lone , ,Solomon Chungalao ,NPC ,1,Majority 
Iligan ,Lone , ,Frederick Siao ,Nacionalista ,2,Majority 
Ilocos Norte ,1st, ,Ria Farinas ,PDP-Laban ,1,Majority 
,2nd, ,Eugenio Barba ,Nacionalista ,1,Majority 
Ilocos Sur ,1st, ,Deogracias Victor Savellano ,Nacionalista ,2,Majority 
,2nd,  ,Kristine Singson ,Bileg Ti Ilokano ,1,Minority 
Iloilo ,1st, ,Janette Garin ,Nacionalista ,1,Minority 
,2nd, ,Michael Gorriceta ,Nacionalista ,1,Majority 
,3rd, ,Lorenz Defensor ,PDP-Laban ,1,Majority 
,4th, ,Braeden John Biron ,Nacionalista ,1,Majority 
,5th, ,Raul Tupas ,Nacionalista ,2,Majority 
Iloilo City ,Lone , ,Julienne Baronda ,NUP ,1,Majority 
Isabela ,1st, ,Antonio Albano ,NUP ,1,Majority 
,2nd, ,Ed Christopher Go ,Nacionalista ,1,Majority 
,3rd, ,Ian Dy ,NPC ,1,Majority 
