Province/City ,District ,Representative ,,Party ,Term ,First Elected ,Bloc ,
Davao del Sur ,1st,  ,Douglas R.A. Cagas ,NPC ,3,1998,Majority ,
,2nd,  ,Claude P. Bautista ,NPC ,2,2001,Majority ,
Davao Oriental ,1st,  ,Corazon N. Malanyaon ,KAMPI ,2,2001,Majority ,
,2nd,  ,Mayo Z. Almario ,Lakas-CMD ,3,1998,Majority ,
Eastern Samar ,Lone ,  ,Marcelino C. Libanan[n 7],Lakas-CMD ,3,1998,Majority ,
Guimaras ,Lone ,  ,Edgar T. Espinosa ,Lakas-CMD ,2,2001,Majority ,
Ifugao ,Lone ,  ,Solomon R. Chungalao ,Liberal ,2,2001,Majority ,
Ilocos Norte ,1st,  ,"Roque R. Ablan, Jr. ",Lakas-CMD/KBL ,2,2001,Majority ,
,2nd,  ,Imee R. Marcos ,KBL ,3,1998,Minority ,
Ilocos Sur ,1st,  ,Salacnib F. Baterina ,Lakas-CMD ,3,1998,Majority ,
,2nd,  ,Eric D. Singson ,Liberal ,2,2001,Majority ,
Iloilo ,1st,  ,Janette L. Garin ,Lakas-CMD ,1,2004,Majority ,
,2nd,  ,Judy Syjuco ,Liberal ,1,2004,Majority ,
,3rd,  ,Arthur D. Defensor ,Lakas-CMD ,2,2001,Majority ,
,4th,  ,Ferjenel G. Biron ,KAMPI ,1,2004,Majority ,
,5th,  ,Rolex T. Suplico ,LDP ,3,1998,Minority ,
Iloilo City ,Lone ,  ,"Raul T. Gonzalez, Jr. ",Lakas-CMD ,1,2004,Majority ,
Isabela ,1st,  ,Rodolfo T. Albano III ,KAMPI ,1,2004,Majority ,
,2nd,  ,Edwin C. Uy ,Lakas-CMD ,2,2001,Majority ,
,3rd,  ,Faustino G. Dy III ,NPC ,2,2001,Majority ,
,4th,  ,Anthony C. Miranda ,KAMPI ,1,2004,Majority ,
Kalinga ,Lone ,  ,Laurence B. Wacnang ,Liberal ,3,1998,Majority ,
La Union ,1st,  ,Manuel C. Ortega ,NPC ,3,1998,Majority ,
,2nd,  ,Tomas M. Dumpit ,KAMPI ,3,1998,Majority ,
Laguna ,1st,  ,Uliran T. Joaquin ,NPC ,3,1998,Majority ,
,2nd,  ,Justin S.B. Chipeco ,Nacionalista ,1,2004,Minority ,
,3rd,  ,Danton Q. Bueser ,Liberal ,3,1998,Majority ,
,4th,  ,"Benjamin C. Agarao, Jr. ",Liberal ,1,2004,Minority ,
Lanao del Norte ,1st,  ,Alipio V. Badelles ,NPC ,3,1998,Majority ,
,2nd,  ,Abdullah D. Dimaporo ,Lakas-CMD ,2,2001,Majority ,
Lanao del Sur ,1st,  ,Faysah R.P.M. Dumarpa ,Lakas-CMD ,2,2001,Majority ,
,2nd,  ,"Benasing O. Macarambon, Jr. ",NPC ,3,1998,Majority ,
Las Piñas City ,Lone ,  ,Cynthia A. Villar ,Nacionalista ,2,2001,Majority ,
Leyte ,1st,  ,Remedios L. Petilla ,Lakas-CMD ,1,2004,Majority ,
,2nd,  ,Trinidad G. Apostol ,Lakas-CMD ,2,2001,Majority ,
,3rd,  ,Eduardo K. Veloso ,Lakas-CMD/NPC ,3,1998,Majority ,
,4th,  ,"Eufrocino M. Codilla, Sr. ",Lakas-CMD ,2,2001,Majority ,
,5th,  ,Carmen L. Cari ,Lakas-CMD ,2,2001,Majority ,
Maguindanao ,1st,  ,Baisendig G. Dilangalen ,PMP ,1,2004,Minority ,
,2nd,  ,Simeon A. Datumanong ,Lakas-CMD ,1,2004,Majority ,
Makati City ,1st,  ,"Teodoro L. Locsin, Jr. ",PDP-Laban ,2,2001,Majority ,
,2nd,  ,Agapito A. Aquino ,LDP ,3,1998,Minority ,
Malabon City–Navotas ,Lone ,  ,Federico S. Sandoval II ,Liberal ,3,1998,Majority ,
Mandaluyong City ,Lone ,  ,"Benjamin D. Abalos, Jr. ",Lakas-CMD ,1,2004,Majority ,
Manila ,1st,  ,Ernesto A. Nieva ,Lakas-CMD ,3,1998,Majority ,
,2nd,  ,Jaime C. Lopez ,Lakas-CMD ,2,2001,Majority ,
,3rd,  ,Miles M. Roces ,Liberal ,1,2004,Majority ,
,4th,  ,Rodolfo C. Bacani ,Liberal ,3,1998,Majority ,
,5th,  ,Joey D. Hizon ,Nacionalista ,3,1998,Majority ,
,6th,  ,"Bienvenido M. Abante, Jr. ",Lakas-CMD ,1,2004,Majority ,
Marikina City ,Lone ,  ,Del R. De Guzman ,Lakas-CMD ,2,2001,Majority ,
