District Representatives ,,,,
Province/City ,District ,Representative ,Party ,Term 
,4th,Rodolfo S. San Luis ,LDP/LAMMP ,1
Lanao del Norte ,1st,Alipio Cirilo V. Badelles ,LAMMP ,1
,2nd,Macabangkit Lanto ,Lakas-NUCD ,1
Lanao del Sur ,1st,Mamintal M. Adiong ,LAMMP ,3
,2nd,Benasing O. Macarambon Jr. ,NPC ,1
Las Piñas City ,Lone ,Manuel B. Villar Jr. ,LAMMP ,3
Leyte ,1st,Alfred S. Romualdez ,NPC/LAMMP ,1
,2nd,Sergio Antonio F. Apostol ,Lakas-NUCD ,3
,3rd,Eduardo K. Veloso ,NPC ,1
,4th,Ma. Victoria L. Locsin ,LAMMP ,1
,5th,Ma. Catalina L. Loreto-Go ,LAMMP ,1
Maguindanao ,1st,Didagen P. Dilangalen ,LAMMP ,2
,2nd,Simeon A. Datumanong ,Lakas-NUCD ,3
Makati City ,1st,Joker P. Arroyo ,independent ,3
 ,2nd,Agapito A. Aquino ,LDP/LAMMP ,1
Malabon–Navotas ,Lone ,Federico S. Sandoval II ,Lakas-NUCD ,1
Mandaluyong ,Lone ,Neptali M. Gonzales II ,LDP/LAMMP ,2
Manila ,1st,Ernesto A. Nieva ,LAMMP ,1
,2nd,Nestor C. Ponce Jr. ,Liberal ,1
,3rd,Harry C. Angping ,LAMMP ,1
,4th,Rodolfo C. Bacani ,Liberal ,1
,5th,Joey D. Hizon ,Liberal ,1
,6th,Rosenda Ann H. Ocampo ,NPC/LAMMP ,3
Marikina ,Lone ,Romeo D. Candazo ,Liberal ,3
Marinduque ,Lone ,Edmundo O. Reyes Jr. ,LAMMP ,1
Masbate ,1st,Vida V. Espinosa ,LAMMP ,2
,2nd,Emilio R. Espinosa Jr. ,NPC/LAMMP ,1
,3rd,Fausto L. Seachon Jr. ,NPC/LAMMP ,2
Misamis Occidental ,1st,Percival B. Catane ,Lakas-NUCD ,3
,2nd,Hilarion J. Ramiro Jr. ,independent ,1
Misamis Oriental ,1st,Oscar S. Moreno ,Lakas-NUCD ,1
,2nd,Augusto H. Baculio ,LDPLAMMP ,1
Mountain Province ,Lone ,Josephine C. Dominguez ,LDP/LAMMP ,1
Muntinlupa City ,Lone ,Ignacio R. Bunye ,Lakas-NUCD ,1
Negros Occidental ,1st,Julio A. Ledesma IV ,NPC/UNA/LAMMP ,2
,2nd,Alfredo G. Marañon ,NPC/UNA/LAMMP ,2
,3rd,Edith A. Yotoko-Villanueva ,LDP ,1
,4th,Carlos O. Cojuangco ,NPC/LAMMP ,1
,5th,Jose Apolinario Lozada Jr. ,Lakas-NUCD ,1
,6th,Genaro M. Alvarez Jr. ,NPC UNA/LAMMP ,2
Negros Oriental ,1st,Jacinto V. Paras ,LDP/LAMMP ,1
