District Representatives ,,,,,,
Province/City ,District ,Representative ,,Party ,Term ,First Elected 
,3rd,  ,"Arthur D. Defensor, Sr. ",Lakas-CMD ,1,2001
,4th,  ,Narciso D. Monfort ,Lakas-CMD ,3,1995
,5th,  ,Rolex T. Suplico ,LDP ,2,1998
Iloilo City ,Lone ,  ,Raul M. Gonzalez ,Nacionalista ,3,1995
Isabela ,1st,  ,Rodolfo B. Albano Jr. ,Lakas-CMD ,1,2001
,2nd,  ,Edwin C. Uy ,Lakas-CMD ,1,2001
,3rd,  ,Faustino G. Dy III ,Lakas-CMD ,1,2001
,4th,  ,Antonio M. Abaya2,Lakas-CMD ,1,2001
,,  ,Giorgidi B. Aggabao3,NPC ,1,2003
Kalinga ,Lone ,  ,Laurence B. Wacnang ,Liberal ,2,1998
La Union ,1st,  ,Manuel C. Ortega ,NPC ,2,1998
,2nd,  ,Tomas M. Dumpit ,NPC ,2,1998
Laguna ,1st,  ,Uliran T. Joaquin ,NPC ,2,1998
,2nd,  ,Joaquin M. Chipeco Jr. ,KAMPI/LDP ,3,1995
,3rd,  ,Danton Q. Bueser ,Liberal ,2,1998
,4th,  ,Rodolfo S. San Luis ,LDP ,2,1998
Lanao del Norte ,1st,  ,Alipio V. Badelles ,NPC ,2,1998
,2nd,  ,Abdullah D. Dimaporo ,Lakas-CMD ,1,2001
Lanao del Sur ,1st,  ,Faysah R.P.M. Dumarpa ,Lakas-CMD ,1,2001
,2nd,  ,Benasing O. Macarambon Jr. ,NPC ,2,1998
Las Piñas City ,Lone ,  ,Cynthia A. Villar ,independent ,1,2001
Leyte ,1st,  ,Mario Teodoro E. Failon(Mario Teodoro F. Etong) ,independent ,1,2001
,2nd,  ,Trinidad G. Apostol ,Lakas-CMD ,1,2001
,3rd,  ,Eduardo K. Veloso ,Lakas-CMD/NPC ,2,1998
,4th,  ,"Eufrocino M. Codilla, Sr. ",Lakas-CMD ,1,2001
,5th,  ,Carmen L. Cari ,Lakas-CMD ,1,2001
Maguindanao ,1st,  ,Didagen P. Dilangalen ,PMP ,3,1995
,2nd,  ,Guimid P. Matalam ,Lakas-CMD ,1,2001
Makati City ,1st,  ,Teodoro L. Locsin Jr. ,PDP-Laban ,1,2001
,2nd,  ,Agapito A. Aquino ,LDP ,2,1998
Malabon City-Navotas ,Lone ,  ,Federico S. Sandoval II ,Liberal ,2,1998
Mandaluyong City ,Lone ,  ,Neptali M. Gonzales II ,Lakas-CMD ,3,1995
Manila ,1st,  ,Ernesto A. Nieva ,Lakas-CMD ,2,1998
,2nd,  ,Jaime C. Lopez ,Lakas-CMD ,1,2001
,3rd,  ,Harry C. Angping ,NPC ,2,1998
